Date	Day	Time	Rep	Treatment	Location	Algae	TreatID	uniqueID	Type	F0_Menupoint	Mem	F	Fm_p	PAR	Y.II	ETR	Fo_p	ETRf	qP	qN	qL	NPQ	Fo	Fm	FvFm
2014-07-23	0	16:59:41	1	A	Benthic	Nostoc	0.Nostoc.Benthic	Nostoc.A.1	FO	17	2	628	842	1	0.254	0.1	NA	0.84	NA	NA	NA	NA	628	842	0.254
2014-07-23	0	17:00:00	1	A	Benthic	Nostoc	0.Nostoc.Benthic	Nostoc.A.1	F	17	3	681	838	101	0.187	7.9	626	0.84	0.741	0.009	0.681	0.005	628	842	0.254
2014-07-23	0	17:00:19	1	A	Benthic	Nostoc	0.Nostoc.Benthic	Nostoc.A.1	F	17	4	683	803	205	0.149	12.8	606	0.84	0.609	0.079	0.54	0.049	628	842	0.254
2014-07-23	0	17:00:39	1	A	Benthic	Nostoc	0.Nostoc.Benthic	Nostoc.A.1	F	17	5	659	743	331	0.113	15.7	571	0.84	0.488	0.196	0.423	0.133	628	842	0.254
2014-07-23	0	17:00:58	1	A	Benthic	Nostoc	0.Nostoc.Benthic	Nostoc.A.1	F	17	6	642	703	476	0.087	17.4	547	0.84	0.391	0.271	0.333	0.198	628	842	0.254
2014-07-23	0	17:01:18	1	A	Benthic	Nostoc	0.Nostoc.Benthic	Nostoc.A.1	F	17	7	619	666	638	0.071	19	525	0.84	0.333	0.341	0.282	0.264	628	842	0.254
2014-07-23	0	17:01:38	1	A	Benthic	Nostoc	0.Nostoc.Benthic	Nostoc.A.1	F	17	8	600	628	926	0.045	17.5	501	0.84	0.22	0.407	0.184	0.341	628	842	0.254
2014-07-23	0	17:01:57	1	A	Benthic	Nostoc	0.Nostoc.Benthic	Nostoc.A.1	F	17	9	576	596	1227	0.034	17.5	480	0.84	0.172	0.458	0.143	0.413	628	842	0.254
2014-07-23	0	17:05:17	1	B	Benthic	Clad_R	0.Clad_R.Benthic	Clad_R.B.1	FO	17	12	913	2076	1	0.56	0.2	NA	0.84	NA	NA	NA	NA	913	2076	0.56
2014-07-23	0	17:05:36	1	B	Benthic	Clad_R	0.Clad_R.Benthic	Clad_R.B.1	F	17	13	1132	1637	101	0.308	13.1	817	0.84	0.616	0.295	0.445	0.268	913	2076	0.56
2014-07-23	0	17:05:56	1	B	Benthic	Clad_R	0.Clad_R.Benthic	Clad_R.B.1	F	17	14	1039	1377	205	0.245	21.1	746	0.84	0.536	0.457	0.385	0.508	913	2076	0.56
2014-07-23	0	17:06:15	1	B	Benthic	Clad_R	0.Clad_R.Benthic	Clad_R.B.1	F	17	15	982	1210	331	0.188	26.1	694	0.84	0.442	0.556	0.312	0.716	913	2076	0.56
2014-07-23	0	17:06:35	1	B	Benthic	Clad_R	0.Clad_R.Benthic	Clad_R.B.1	F	17	16	940	1122	476	0.162	32.4	665	0.84	0.398	0.607	0.282	0.85	913	2076	0.56
2014-07-23	0	17:06:54	1	B	Benthic	Clad_R	0.Clad_R.Benthic	Clad_R.B.1	F	17	17	916	1059	638	0.135	36.2	642	0.84	0.343	0.641	0.24	0.96	913	2076	0.56
2014-07-23	0	17:07:14	1	B	Benthic	Clad_R	0.Clad_R.Benthic	Clad_R.B.1	F	17	18	920	1018	926	0.096	37.3	627	0.84	0.251	0.664	0.171	1.039	913	2076	0.56
2014-07-23	0	17:07:34	1	B	Benthic	Clad_R	0.Clad_R.Benthic	Clad_R.B.1	F	17	19	907	978	1227	0.073	37.6	611	0.84	0.193	0.684	0.13	1.123	913	2076	0.56
2014-07-23	0	17:09:35	1	C	Benthic	Phorm	0.Phorm.Benthic	Phorm.C.1	FO	17	23	619	975	1	0.365	0.2	NA	0.84	NA	NA	NA	NA	619	975	0.365
2014-07-23	0	17:09:55	1	C	Benthic	Phorm	0.Phorm.Benthic	Phorm.C.1	F	17	24	618	954	38	0.352	5.6	610	0.84	0.977	0.034	0.964	0.022	619	975	0.365
2014-07-23	0	17:10:15	1	C	Benthic	Phorm	0.Phorm.Benthic	Phorm.C.1	F	17	25	612	896	101	0.317	13.4	586	0.84	0.916	0.129	0.877	0.088	619	975	0.365
2014-07-23	0	17:10:34	1	C	Benthic	Phorm	0.Phorm.Benthic	Phorm.C.1	F	17	26	628	855	205	0.265	22.8	568	0.84	0.791	0.194	0.715	0.14	619	975	0.365
2014-07-23	0	17:10:54	1	C	Benthic	Phorm	0.Phorm.Benthic	Phorm.C.1	F	17	27	627	799	331	0.215	29.9	543	0.84	0.672	0.281	0.582	0.22	619	975	0.365
2014-07-23	0	17:11:13	1	C	Benthic	Phorm	0.Phorm.Benthic	Phorm.C.1	F	17	28	629	762	476	0.175	35	526	0.84	0.564	0.337	0.472	0.28	619	975	0.365
2014-07-23	0	17:11:33	1	C	Benthic	Phorm	0.Phorm.Benthic	Phorm.C.1	F	17	29	626	727	638	0.139	37.2	509	0.84	0.463	0.388	0.376	0.341	619	975	0.365
2014-07-23	0	17:11:53	1	C	Benthic	Phorm	0.Phorm.Benthic	Phorm.C.1	F	17	30	624	691	926	0.097	37.7	491	0.84	0.335	0.438	0.264	0.411	619	975	0.365
2014-07-23	0	17:12:12	1	C	Benthic	Phorm	0.Phorm.Benthic	Phorm.C.1	F	17	31	610	656	1227	0.07	36.1	473	0.84	0.251	0.486	0.195	0.486	619	975	0.365
2014-07-23	0	17:16:53	1	E	Benthic	Clad_Y	0.Clad_Y.Benthic	Clad_Y.E.1	FO	17	34	706	1492	1	0.527	0.2	NA	0.84	NA	NA	NA	NA	706	1492	0.527
2014-07-23	0	17:17:13	1	E	Benthic	Clad_Y	0.Clad_Y.Benthic	Clad_Y.E.1	F	17	35	733	1195	38	0.387	6.2	632	0.84	0.821	0.284	0.708	0.249	706	1492	0.527
2014-07-23	0	17:17:32	1	E	Benthic	Clad_Y	0.Clad_Y.Benthic	Clad_Y.E.1	F	17	36	671	934	101	0.282	12	550	0.84	0.685	0.511	0.561	0.597	706	1492	0.527
2014-07-23	0	17:17:52	1	E	Benthic	Clad_Y	0.Clad_Y.Benthic	Clad_Y.E.1	F	17	37	640	810	205	0.21	18.1	505	0.84	0.557	0.612	0.44	0.842	706	1492	0.527
2014-07-23	0	17:18:11	1	E	Benthic	Clad_Y	0.Clad_Y.Benthic	Clad_Y.E.1	F	17	38	616	732	331	0.158	22	473	0.84	0.448	0.67	0.344	1.038	706	1492	0.527
2014-07-23	0	17:18:31	1	E	Benthic	Clad_Y	0.Clad_Y.Benthic	Clad_Y.E.1	F	17	39	603	688	476	0.124	24.8	455	0.84	0.365	0.704	0.275	1.169	706	1492	0.527
2014-07-23	0	17:18:51	1	E	Benthic	Clad_Y	0.Clad_Y.Benthic	Clad_Y.E.1	F	17	40	587	651	638	0.098	26.3	438	0.84	0.3	0.729	0.224	1.292	706	1492	0.527
2014-07-23	0	17:19:10	1	E	Benthic	Clad_Y	0.Clad_Y.Benthic	Clad_Y.E.1	F	17	41	576	617	926	0.066	25.7	422	0.84	0.21	0.752	0.154	1.418	706	1492	0.527
2014-07-23	0	17:19:30	1	E	Benthic	Clad_Y	0.Clad_Y.Benthic	Clad_Y.E.1	F	17	42	559	590	1227	0.053	27.3	410	0.84	0.172	0.771	0.126	1.529	706	1492	0.527
2014-07-23	0	17:22:16	1	F	Benthic	Riv	0.Riv.Benthic	Riv.F.1	FO	17	46	394	528	1	0.254	0.1	NA	0.84	NA	NA	NA	NA	394	528	0.254
2014-07-23	0	17:22:36	1	F	Benthic	Riv	0.Riv.Benthic	Riv.F.1	F	17	47	405	526	38	0.23	3.7	393	0.84	0.91	0.007	0.883	0.004	394	528	0.254
2014-07-23	0	17:22:55	1	F	Benthic	Riv	0.Riv.Benthic	Riv.F.1	F	17	48	401	506	101	0.208	8.8	382	0.84	0.847	0.075	0.807	0.043	394	528	0.254
2014-07-23	0	17:23:15	1	F	Benthic	Riv	0.Riv.Benthic	Riv.F.1	F	17	49	401	496	205	0.192	16.5	376	0.84	0.792	0.104	0.743	0.065	394	528	0.254
2014-07-23	0	17:23:35	1	F	Benthic	Riv	0.Riv.Benthic	Riv.F.1	F	17	50	386	464	331	0.168	23.4	357	0.84	0.729	0.201	0.674	0.138	394	528	0.254
2014-07-23	0	17:23:54	1	F	Benthic	Riv	0.Riv.Benthic	Riv.F.1	F	17	51	383	449	476	0.147	29.4	348	0.84	0.653	0.246	0.593	0.176	394	528	0.254
2014-07-23	0	17:24:14	1	F	Benthic	Riv	0.Riv.Benthic	Riv.F.1	F	17	52	364	422	638	0.137	36.7	332	0.84	0.644	0.328	0.587	0.251	394	528	0.254
