Date,Time,Rep,Trt,Stress,Algae,Type,FO_Menupoint,No.,1:F,1:Fm',1:PAR,1:Y (II),1:ETR,1:Fo',1:ETR-F.,1:qP,1:qN,1:qL,1:NPQ,1:Fo,1:Fm,1:Fv/Fm,Comments
7/23/14,18:13:19,3,A,,Cyano Spires,FO,17,133,892,1417,1,0.371,0.2,-,0.84,-,-,-,-,892,1417,0.371,
7/23/14,18:13:38,3,A,,Cyano Spires,F,17,134,931,1471,38,0.367,5.9,~913,0.84,0.968,-0.063,0.949,-0.037,892,1417,0.371,
7/23/14,18:13:58,3,A,,Cyano Spires,F,17,135,914,1352,101,0.324,13.7,~866,0.84,0.901,0.074,0.854,0.048,892,1417,0.371,
7/23/14,18:14:17,3,A,,Cyano Spires,F,17,136,907,1237,205,0.267,23,~817,0.84,0.786,0.2,0.708,0.146,892,1417,0.371,
7/23/14,18:14:37,3,A,,Cyano Spires,F,17,137,882,1111,331,0.206,28.6,~760,0.84,0.652,0.331,0.562,0.275,892,1417,0.371,
7/23/14,18:14:57,3,A,,Cyano Spires,F,17,138,854,1023,476,0.165,33,~718,0.84,0.554,0.419,0.466,0.385,892,1417,0.371,
7/23/14,18:15:16,3,A,,Cyano Spires,F,17,139,822,947,638,0.132,35.4,~680,0.84,0.468,0.491,0.387,0.496,892,1417,0.371,
7/23/14,18:15:36,3,A,,Cyano Spires,F,17,140,793,879,926,0.098,38.1,~644,0.84,0.366,0.552,0.297,0.612,892,1417,0.371,
7/23/14,18:15:55,3,A,,Cyano Spires,F,17,141,743,802,1227,0.074,38.1,~602,0.84,0.295,0.619,0.239,0.767,892,1417,0.371,
7/23/14,19:41:03,5,D,,Cyano Spires,FO,17,296,809,1225,1,0.34,0.1,-,0.84,-,-,-,-,809,1225,0.34,
7/23/14,19:41:23,5,D,,Cyano Spires,F,17,297,827,1317,38,0.372,5.9,~848,0.84,1.045,-0.127,1.072,-0.07,809,1225,0.34,
7/23/14,19:41:42,5,D,,Cyano Spires,F,17,298,852,1289,101,0.339,14.4,~836,0.84,0.965,-0.089,0.947,-0.05,809,1225,0.34,
7/23/14,19:42:02,5,D,,Cyano Spires,F,17,299,861,1228,205,0.299,25.7,~810,0.84,0.878,-0.005,0.826,-0.002,809,1225,0.34,
7/23/14,19:42:22,5,D,,Cyano Spires,F,17,300,854,1123,331,0.24,33.4,~763,0.84,0.747,0.135,0.667,0.091,809,1225,0.34,
7/23/14,19:42:41,5,D,,Cyano Spires,F,17,301,835,1048,476,0.203,40.6,~728,0.84,0.666,0.231,0.581,0.169,809,1225,0.34,
7/23/14,19:43:01,5,D,,Cyano Spires,F,17,302,820,979,638,0.162,43.4,~694,0.84,0.558,0.315,0.472,0.251,809,1225,0.34,
7/23/14,19:43:20,5,D,,Cyano Spires,F,17,303,796,907,926,0.122,47.4,~657,0.84,0.444,0.399,0.366,0.351,809,1225,0.34,
7/23/14,19:43:40,5,D,,Cyano Spires,F,17,304,756,836,1227,0.096,49.5,~619,0.84,0.369,0.478,0.302,0.465,809,1225,0.34,
7/23/14,20:30:46,6,E,,Cyano Spires,FO,17,368,901,1458,1,0.382,0.2,-,0.84,-,-,-,-,901,1458,0.382,
7/23/14,20:31:05,6,E,,Cyano Spires,F,17,369,1014,1435,101,0.293,12.4,~892,0.84,0.775,0.025,0.682,0.016,901,1458,0.382,
7/23/14,20:31:25,6,E,,Cyano Spires,F,17,370,954,1317,205,0.276,23.8,~845,0.84,0.769,0.153,0.681,0.107,901,1458,0.382,
7/23/14,20:31:45,6,E,,Cyano Spires,F,17,371,912,1188,331,0.232,32.3,~790,0.84,0.693,0.285,0.6,0.227,901,1458,0.382,
7/23/14,20:32:04,6,E,,Cyano Spires,F,17,372,889,1110,476,0.199,39.8,~755,0.84,0.623,0.363,0.529,0.314,901,1458,0.382,
7/23/14,20:32:24,6,E,,Cyano Spires,F,17,373,872,1039,638,0.161,43.1,~721,0.84,0.525,0.429,0.434,0.403,901,1458,0.382,
7/23/14,20:32:43,6,E,,Cyano Spires,F,17,374,852,972,926,0.123,47.8,~688,0.84,0.423,0.49,0.342,0.5,901,1458,0.382,
7/23/14,20:33:03,6,E,,Cyano Spires,F,17,375,818,904,1227,0.095,49,~654,0.84,0.344,0.551,0.275,0.613,901,1458,0.382,
7/23/14,20:33:23,6,E,,Cyano Spires,F,17,376,774,832,1843,0.07,54.2,~615,0.84,0.267,0.61,0.212,0.752,901,1458,0.382,
7/23/14,17:57:18,2,F,,Cyano Spires,FO,17,110,891,1389,1,0.359,0.2,-,0.84,-,-,-,-,891,1389,0.359,
7/23/14,17:57:37,2,F,,Cyano Spires,F,17,111,932,1385,38,0.327,5.2,~889,0.84,0.913,0.004,0.871,0.003,891,1389,0.359,
7/23/14,17:57:57,2,F,,Cyano Spires,F,17,112,902,1249,101,0.278,11.8,~831,0.84,0.83,0.161,0.765,0.112,891,1389,0.359,
7/23/14,17:58:16,2,F,,Cyano Spires,F,17,113,893,1137,205,0.215,18.5,~780,0.84,0.683,0.283,0.597,0.222,891,1389,0.359,
7/23/14,17:58:36,2,F,,Cyano Spires,F,17,114,882,1048,331,0.158,22,~737,0.84,0.534,0.376,0.446,0.325,891,1389,0.359,
7/23/14,17:58:56,2,F,,Cyano Spires,F,17,115,859,979,476,0.123,24.6,~702,0.84,0.433,0.444,0.354,0.419,891,1389,0.359,
7/23/14,17:59:15,2,F,,Cyano Spires,F,17,116,834,920,638,0.093,24.9,~671,0.84,0.345,0.5,0.278,0.51,891,1389,0.359,
7/23/14,17:59:35,2,F,,Cyano Spires,F,17,117,798,856,926,0.068,26.4,~637,0.84,0.265,0.56,0.212,0.623,891,1389,0.359,
7/23/14,17:59:54,2,F,,Cyano Spires,F,17,118,749,788,1227,0.049,25.3,~598,0.84,0.205,0.618,0.164,0.763,891,1389,0.359,
7/23/14,19:12:18,4,F,,Cyano Spires,FO,17,244,899,1441,1,0.376,0.2,-,0.84,-,-,-,-,899,1441,0.376,
7/23/14,19:12:37,4,F,,Cyano Spires,F,17,245,961,1570,38,0.388,6.2,~948,0.84,0.979,-0.148,0.966,-0.082,899,1441,0.376,
7/23/14,19:12:57,4,F,,Cyano Spires,F,17,246,951,1452,101,0.345,14.6,~903,0.84,0.913,-0.013,0.867,-0.008,899,1441,0.376,
7/23/14,19:13:16,4,F,,Cyano Spires,F,17,247,937,1316,205,0.288,24.8,~849,0.84,0.812,0.138,0.736,0.095,899,1441,0.376,
7/23/14,19:13:36,4,F,,Cyano Spires,F,17,248,913,1181,331,0.227,31.6,~790,0.84,0.685,0.279,0.593,0.22,899,1441,0.376,
7/23/14,19:13:56,4,F,,Cyano Spires,F,17,249,891,1093,476,0.185,37,~750,0.84,0.589,0.367,0.496,0.318,899,1441,0.376,
7/23/14,19:14:15,4,F,,Cyano Spires,F,17,250,874,1026,638,0.148,39.7,~718,0.84,0.494,0.432,0.406,0.404,899,1441,0.376,
7/23/14,19:14:35,4,F,,Cyano Spires,F,17,251,861,964,926,0.107,41.6,~687,0.84,0.372,0.489,0.297,0.495,899,1441,0.376,
7/23/14,19:14:54,4,F,,Cyano Spires,F,17,252,818,894,1227,0.085,43.8,~651,0.84,0.313,0.552,0.249,0.612,899,1441,0.376,
7/23/14,17:27:39,1,G,,Cyano Spires,FO,17,56,918,1465,1,0.373,0.2,-,0.84,-,-,-,-,918,1465,0.373,
7/23/14,17:27:58,1,G,,Cyano Spires,F,17,57,973,1439,38,0.324,5.2,~908,0.84,0.878,0.029,0.819,0.018,918,1465,0.373,
