1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: D70000003486DB41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 900 second(s)
Mission Start Time:  Wed Jul 23 10:24:01 PDT 2014
Mission Sample Count:  147
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Wed Jul 23 10:24:01 PDT 2014
Total Mission Samples:  147
Total Device Samples:  754
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
7/23/14 10:24:01 AM,C,19.749
7/23/14 10:39:01 AM,C,19.562
7/23/14 10:54:01 AM,C,19.562
7/23/14 11:09:01 AM,C,19.624
7/23/14 11:24:01 AM,C,19.749
7/23/14 11:39:01 AM,C,22.94
7/23/14 11:54:01 AM,C,23.066
7/23/14 12:09:01 PM,C,21.814
7/23/14 12:24:01 PM,C,21.377
7/23/14 12:39:01 PM,C,21.126
7/23/14 12:54:01 PM,C,20.938
7/23/14 1:09:01 PM,C,20.688
7/23/14 1:24:01 PM,C,20.313
7/23/14 1:39:01 PM,C,21.314
7/23/14 1:54:01 PM,C,21.752
7/23/14 2:09:01 PM,C,22.628
7/23/14 2:24:01 PM,C,22.19
7/23/14 2:39:01 PM,C,21.94
7/23/14 2:54:01 PM,C,22.315
7/23/14 3:09:01 PM,C,22.878
7/23/14 3:24:01 PM,C,22.94
7/23/14 3:39:01 PM,C,22.94
7/23/14 3:54:01 PM,C,23.003
7/23/14 4:09:01 PM,C,23.003
7/23/14 4:24:01 PM,C,22.94
7/23/14 4:39:01 PM,C,22.815
7/23/14 4:54:01 PM,C,22.628
7/23/14 5:09:01 PM,C,22.69
7/23/14 5:24:01 PM,C,22.69
7/23/14 5:39:01 PM,C,22.19
7/23/14 5:54:01 PM,C,22.002
7/23/14 6:09:01 PM,C,21.94
7/23/14 6:24:01 PM,C,21.94
7/23/14 6:39:01 PM,C,21.877
7/23/14 6:54:01 PM,C,21.752
7/23/14 7:09:01 PM,C,21.564
7/23/14 7:24:01 PM,C,21.377
7/23/14 7:39:01 PM,C,21.251
7/23/14 7:54:01 PM,C,21.251
7/23/14 8:09:01 PM,C,21.189
7/23/14 8:24:01 PM,C,21.126
7/23/14 8:39:01 PM,C,21.064
7/23/14 8:54:01 PM,C,21.064
7/23/14 9:09:01 PM,C,21.001
7/23/14 9:24:01 PM,C,20.938
7/23/14 9:39:01 PM,C,20.938
7/23/14 9:54:01 PM,C,20.876
7/23/14 10:09:01 PM,C,20.813
7/23/14 10:24:01 PM,C,20.751
7/23/14 10:39:01 PM,C,20.688
7/23/14 10:54:01 PM,C,20.626
7/23/14 11:09:01 PM,C,20.563
7/23/14 11:24:01 PM,C,20.5
7/23/14 11:39:01 PM,C,20.375
7/23/14 11:54:01 PM,C,20.313
7/24/14 12:09:01 AM,C,20.25
7/24/14 12:24:01 AM,C,20.187
7/24/14 12:39:01 AM,C,20.125
7/24/14 12:54:01 AM,C,20.062
7/24/14 1:09:01 AM,C,20
7/24/14 1:24:01 AM,C,20
7/24/14 1:39:01 AM,C,19.874
7/24/14 1:54:01 AM,C,19.812
7/24/14 2:09:01 AM,C,19.749
7/24/14 2:24:01 AM,C,19.687
7/24/14 2:39:01 AM,C,19.624
7/24/14 2:54:01 AM,C,19.562
