1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 0200000034827241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 900 second(s)
Mission Start Time:  Wed Jul 23 10:27:01 PDT 2014
Mission Sample Count:  147
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Wed Jul 23 10:27:01 PDT 2014
Total Mission Samples:  147
Total Device Samples:  4372
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
7/23/14 10:27:01 AM,C,20.981
7/23/14 10:42:01 AM,C,20.293
7/23/14 10:57:01 AM,C,20.043
7/23/14 11:12:01 AM,C,20.418
7/23/14 11:27:01 AM,C,21.106
7/23/14 11:42:01 AM,C,22.169
7/23/14 11:57:01 AM,C,24.17
7/23/14 12:12:01 PM,C,22.67
7/23/14 12:27:01 PM,C,21.732
7/23/14 12:42:01 PM,C,21.356
7/23/14 12:57:01 PM,C,21.356
7/23/14 1:12:01 PM,C,21.607
7/23/14 1:27:01 PM,C,24.857
7/23/14 1:42:01 PM,C,24.982
7/23/14 1:57:01 PM,C,24.92
7/23/14 2:12:01 PM,C,24.545
7/23/14 2:27:01 PM,C,23.357
7/23/14 2:42:01 PM,C,22.92
7/23/14 2:57:01 PM,C,22.294
7/23/14 3:12:01 PM,C,22.044
7/23/14 3:27:01 PM,C,23.045
7/23/14 3:42:01 PM,C,23.107
7/23/14 3:57:01 PM,C,23.107
7/23/14 4:12:01 PM,C,23.045
7/23/14 4:27:01 PM,C,22.982
7/23/14 4:42:01 PM,C,22.982
7/23/14 4:57:01 PM,C,22.795
7/23/14 5:12:01 PM,C,22.607
7/23/14 5:27:01 PM,C,22.357
7/23/14 5:42:01 PM,C,22.482
7/23/14 5:57:01 PM,C,22.357
7/23/14 6:12:01 PM,C,21.982
7/23/14 6:27:01 PM,C,22.044
7/23/14 6:42:01 PM,C,21.919
7/23/14 6:57:01 PM,C,21.794
7/23/14 7:12:01 PM,C,21.544
7/23/14 7:27:01 PM,C,21.356
7/23/14 7:42:01 PM,C,21.231
7/23/14 7:57:01 PM,C,21.231
7/23/14 8:12:01 PM,C,21.169
7/23/14 8:27:01 PM,C,21.169
7/23/14 8:42:01 PM,C,21.106
7/23/14 8:57:01 PM,C,21.044
7/23/14 9:12:01 PM,C,20.981
7/23/14 9:27:01 PM,C,20.981
7/23/14 9:42:01 PM,C,20.919
7/23/14 9:57:01 PM,C,20.856
7/23/14 10:12:01 PM,C,20.794
7/23/14 10:27:01 PM,C,20.731
7/23/14 10:42:01 PM,C,20.668
7/23/14 10:57:01 PM,C,20.606
7/23/14 11:12:01 PM,C,20.543
7/23/14 11:27:01 PM,C,20.481
7/23/14 11:42:01 PM,C,20.418
7/23/14 11:57:01 PM,C,20.356
7/24/14 12:12:01 AM,C,20.293
7/24/14 12:27:01 AM,C,20.231
7/24/14 12:42:01 AM,C,20.168
7/24/14 12:57:01 AM,C,20.106
7/24/14 1:12:01 AM,C,20.043
7/24/14 1:27:01 AM,C,19.98
7/24/14 1:42:01 AM,C,19.918
7/24/14 1:57:01 AM,C,19.855
7/24/14 2:12:01 AM,C,19.793
7/24/14 2:27:01 AM,C,19.668
7/24/14 2:42:01 AM,C,19.605
7/24/14 2:57:01 AM,C,19.543
7/24/14 3:12:01 AM,C,19.48
7/24/14 3:27:01 AM,C,19.417
7/24/14 3:42:01 AM,C,19.355
7/24/14 3:57:01 AM,C,19.292
