1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: CD00000034804A41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 900 second(s)
Mission Start Time:  Wed Jul 23 10:30:01 PDT 2014
Mission Sample Count:  147
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Wed Jul 23 10:30:01 PDT 2014
Total Mission Samples:  147
Total Device Samples:  4372
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
7/23/14 10:30:01 AM,C,19.042
7/23/14 10:45:01 AM,C,19.167
7/23/14 11:00:01 AM,C,19.355
7/23/14 11:15:01 AM,C,19.417
7/23/14 11:30:01 AM,C,19.605
7/23/14 11:45:01 AM,C,21.294
7/23/14 12:00:01 PM,C,22.357
7/23/14 12:15:01 PM,C,22.044
7/23/14 12:30:01 PM,C,21.794
7/23/14 12:45:01 PM,C,21.419
7/23/14 1:00:01 PM,C,21.294
7/23/14 1:15:01 PM,C,21.544
7/23/14 1:30:01 PM,C,24.42
7/23/14 1:45:01 PM,C,24.857
7/23/14 2:00:01 PM,C,24.732
7/23/14 2:15:01 PM,C,24.232
7/23/14 2:30:01 PM,C,23.42
7/23/14 2:45:01 PM,C,23.232
7/23/14 3:00:01 PM,C,23.482
7/23/14 3:15:01 PM,C,23.045
7/23/14 3:30:01 PM,C,21.732
7/23/14 3:45:01 PM,C,22.92
7/23/14 4:00:01 PM,C,22.982
7/23/14 4:15:01 PM,C,22.982
7/23/14 4:30:01 PM,C,22.982
7/23/14 4:45:01 PM,C,22.795
7/23/14 5:00:01 PM,C,22.732
7/23/14 5:15:01 PM,C,22.607
7/23/14 5:30:01 PM,C,22.419
7/23/14 5:45:01 PM,C,22.232
7/23/14 6:00:01 PM,C,22.107
7/23/14 6:15:01 PM,C,21.857
7/23/14 6:30:01 PM,C,21.794
7/23/14 6:45:01 PM,C,21.544
7/23/14 7:00:01 PM,C,21.544
7/23/14 7:15:01 PM,C,21.356
7/23/14 7:30:01 PM,C,21.294
7/23/14 7:45:01 PM,C,21.231
7/23/14 8:00:01 PM,C,21.231
7/23/14 8:15:01 PM,C,21.169
7/23/14 8:30:01 PM,C,21.169
7/23/14 8:45:01 PM,C,21.106
7/23/14 9:00:01 PM,C,21.044
7/23/14 9:15:01 PM,C,21.044
7/23/14 9:30:01 PM,C,20.981
7/23/14 9:45:01 PM,C,20.919
7/23/14 10:00:01 PM,C,20.856
7/23/14 10:15:01 PM,C,20.794
7/23/14 10:30:01 PM,C,20.731
