1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 430000003483BC41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 900 second(s)
Mission Start Time:  Wed Jul 23 08:34:01 PDT 2014
Mission Sample Count:  155
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Wed Jul 23 08:34:01 PDT 2014
Total Mission Samples:  155
Total Device Samples:  762
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
7/23/14 8:34:01 AM,C,17.879
7/23/14 8:49:01 AM,C,18.254
7/23/14 9:04:01 AM,C,18.004
7/23/14 9:19:01 AM,C,18.192
7/23/14 9:34:01 AM,C,17.066
7/23/14 9:49:01 AM,C,17.316
7/23/14 10:04:01 AM,C,17.879
7/23/14 10:19:01 AM,C,18.254
7/23/14 10:34:01 AM,C,18.942
7/23/14 10:49:01 AM,C,19.005
7/23/14 11:04:01 AM,C,19.318
7/23/14 11:19:01 AM,C,19.443
7/23/14 11:34:01 AM,C,19.63
7/23/14 11:49:01 AM,C,21.507
7/23/14 12:04:01 PM,C,21.319
7/23/14 12:19:01 PM,C,21.069
7/23/14 12:34:01 PM,C,21.569
7/23/14 12:49:01 PM,C,21.319
7/23/14 1:04:01 PM,C,21.194
7/23/14 1:19:01 PM,C,21.569
7/23/14 1:34:01 PM,C,23.82
7/23/14 1:49:01 PM,C,24.383
7/23/14 2:04:01 PM,C,24.508
7/23/14 2:19:01 PM,C,23.945
7/23/14 2:34:01 PM,C,23.508
7/23/14 2:49:01 PM,C,22.82
7/23/14 3:04:01 PM,C,22.695
7/23/14 3:19:01 PM,C,19.881
7/23/14 3:34:01 PM,C,19.881
7/23/14 3:49:01 PM,C,21.069
7/23/14 4:04:01 PM,C,21.819
7/23/14 4:19:01 PM,C,22.882
7/23/14 4:34:01 PM,C,22.882
7/23/14 4:49:01 PM,C,22.695
7/23/14 5:04:01 PM,C,22.507
7/23/14 5:19:01 PM,C,22.257
7/23/14 5:34:01 PM,C,22.007
7/23/14 5:49:01 PM,C,21.882
7/23/14 6:04:01 PM,C,21.819
7/23/14 6:19:01 PM,C,21.757
7/23/14 6:34:01 PM,C,21.694
7/23/14 6:49:01 PM,C,21.382
7/23/14 7:04:01 PM,C,21.132
7/23/14 7:19:01 PM,C,20.819
7/23/14 7:34:01 PM,C,21.194
7/23/14 7:49:01 PM,C,21.132
7/23/14 8:04:01 PM,C,21.132
7/23/14 8:19:01 PM,C,21.069
7/23/14 8:34:01 PM,C,21.006
7/23/14 8:49:01 PM,C,21.006
7/23/14 9:04:01 PM,C,20.944
