1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 4200000034856F41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 900 second(s)
Mission Start Time:  Wed Jul 23 08:35:01 PDT 2014
Mission Sample Count:  155
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Wed Jul 23 08:35:01 PDT 2014
Total Mission Samples:  155
Total Device Samples:  762
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
7/23/14 8:35:01 AM,C,17.644
7/23/14 8:50:01 AM,C,18.145
7/23/14 9:05:01 AM,C,17.957
7/23/14 9:20:01 AM,C,18.02
7/23/14 9:35:01 AM,C,17.144
7/23/14 9:50:01 AM,C,18.145
7/23/14 10:05:01 AM,C,18.645
7/23/14 10:20:01 AM,C,19.271
7/23/14 10:35:01 AM,C,19.521
7/23/14 10:50:01 AM,C,19.458
7/23/14 11:05:01 AM,C,19.521
7/23/14 11:20:01 AM,C,19.646
7/23/14 11:35:01 AM,C,19.896
7/23/14 11:50:01 AM,C,21.772
7/23/14 12:05:01 PM,C,21.522
7/23/14 12:20:01 PM,C,21.147
7/23/14 12:35:01 PM,C,21.022
7/23/14 12:50:01 PM,C,21.335
7/23/14 1:05:01 PM,C,21.585
7/23/14 1:20:01 PM,C,22.023
7/23/14 1:35:01 PM,C,24.461
7/23/14 1:50:01 PM,C,24.648
7/23/14 2:05:01 PM,C,24.586
7/23/14 2:20:01 PM,C,23.773
7/23/14 2:35:01 PM,C,23.273
7/23/14 2:50:01 PM,C,23.336
7/23/14 3:05:01 PM,C,23.461
7/23/14 3:20:01 PM,C,23.648
7/23/14 3:35:01 PM,C,23.836
7/23/14 3:50:01 PM,C,25.398
7/23/14 4:05:01 PM,C,23.898
7/23/14 4:20:01 PM,C,20.834
7/23/14 4:35:01 PM,C,20.522
7/23/14 4:50:01 PM,C,22.773
7/23/14 5:05:01 PM,C,22.898
7/23/14 5:20:01 PM,C,22.71
7/23/14 5:35:01 PM,C,22.46
7/23/14 5:50:01 PM,C,22.21
7/23/14 6:05:01 PM,C,22.085
7/23/14 6:20:01 PM,C,22.023
7/23/14 6:35:01 PM,C,21.96
7/23/14 6:50:01 PM,C,21.898
7/23/14 7:05:01 PM,C,21.772
7/23/14 7:20:01 PM,C,21.585
7/23/14 7:35:01 PM,C,20.459
7/23/14 7:50:01 PM,C,20.209
7/23/14 8:05:01 PM,C,21.147
7/23/14 8:20:01 PM,C,21.147
7/23/14 8:35:01 PM,C,21.085
7/23/14 8:50:01 PM,C,21.085
7/23/14 9:05:01 PM,C,21.022
7/23/14 9:20:01 PM,C,20.96
7/23/14 9:35:01 PM,C,20.897
7/23/14 9:50:01 PM,C,20.834
7/23/14 10:05:01 PM,C,20.772
7/23/14 10:20:01 PM,C,20.709
7/23/14 10:35:01 PM,C,20.647
7/23/14 10:50:01 PM,C,20.584
7/23/14 11:05:01 PM,C,20.522
7/23/14 11:20:01 PM,C,20.459
7/23/14 11:35:01 PM,C,20.397
7/23/14 11:50:01 PM,C,20.334
