1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 7A0000003483C441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 900 second(s)
Mission Start Time:  Wed Jul 23 08:36:01 PDT 2014
Mission Sample Count:  155
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Wed Jul 23 08:36:01 PDT 2014
Total Mission Samples:  155
Total Device Samples:  762
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
7/23/14 8:36:01 AM,C,17.657
7/23/14 8:51:01 AM,C,18.033
7/23/14 9:06:01 AM,C,18.158
7/23/14 9:21:01 AM,C,18.158
7/23/14 9:36:01 AM,C,17.219
7/23/14 9:51:01 AM,C,17.595
7/23/14 10:06:01 AM,C,18.033
7/23/14 10:21:01 AM,C,18.534
7/23/14 10:36:01 AM,C,19.098
7/23/14 10:51:01 AM,C,19.16
7/23/14 11:06:01 AM,C,19.286
7/23/14 11:21:01 AM,C,19.348
7/23/14 11:36:01 AM,C,19.661
7/23/14 11:51:01 AM,C,22.039
7/23/14 12:06:01 PM,C,21.414
7/23/14 12:21:01 PM,C,21.101
7/23/14 12:36:01 PM,C,21.101
7/23/14 12:51:01 PM,C,21.101
7/23/14 1:06:01 PM,C,21.726
7/23/14 1:21:01 PM,C,22.477
7/23/14 1:36:01 PM,C,25.041
7/23/14 1:51:01 PM,C,24.728
7/23/14 2:06:01 PM,C,23.978
7/23/14 2:21:01 PM,C,23.353
7/23/14 2:36:01 PM,C,23.165
7/23/14 2:51:01 PM,C,23.04
7/23/14 3:06:01 PM,C,23.04
7/23/14 3:21:01 PM,C,23.103
7/23/14 3:36:01 PM,C,23.165
7/23/14 3:51:01 PM,C,24.416
7/23/14 4:06:01 PM,C,25.479
7/23/14 4:21:01 PM,C,26.603
7/23/14 4:36:01 PM,C,27.478
7/23/14 4:51:01 PM,C,22.602
7/23/14 5:06:01 PM,C,22.665
7/23/14 5:21:01 PM,C,22.164
7/23/14 5:36:01 PM,C,22.352
7/23/14 5:51:01 PM,C,22.227
7/23/14 6:06:01 PM,C,22.164
7/23/14 6:21:01 PM,C,22.102
7/23/14 6:36:01 PM,C,21.914
7/23/14 6:51:01 PM,C,21.852
7/23/14 7:06:01 PM,C,21.726
7/23/14 7:21:01 PM,C,21.539
7/23/14 7:36:01 PM,C,21.289
7/23/14 7:51:01 PM,C,21.289
7/23/14 8:06:01 PM,C,19.599
7/23/14 8:21:01 PM,C,19.536
7/23/14 8:36:01 PM,C,19.786
7/23/14 8:51:01 PM,C,19.849
7/23/14 9:06:01 PM,C,20.913
7/23/14 9:21:01 PM,C,20.976
7/23/14 9:36:01 PM,C,20.913
7/23/14 9:51:01 PM,C,20.85
7/23/14 10:06:01 PM,C,20.788
7/23/14 10:21:01 PM,C,20.725
7/23/14 10:36:01 PM,C,20.663
7/23/14 10:51:01 PM,C,20.6
7/23/14 11:06:01 PM,C,20.538
7/23/14 11:21:01 PM,C,20.475
7/23/14 11:36:01 PM,C,20.35
7/23/14 11:51:01 PM,C,20.287
7/24/14 12:06:01 AM,C,20.287
7/24/14 12:21:01 AM,C,20.225
7/24/14 12:36:01 AM,C,20.162
7/24/14 12:51:01 AM,C,20.099
7/24/14 1:06:01 AM,C,20.037
7/24/14 1:21:01 AM,C,19.974
7/24/14 1:36:01 AM,C,19.912
7/24/14 1:51:01 AM,C,19.849
7/24/14 2:06:01 AM,C,19.786
7/24/14 2:21:01 AM,C,19.724
7/24/14 2:36:01 AM,C,19.661
7/24/14 2:51:01 AM,C,19.599
7/24/14 3:06:01 AM,C,19.473
7/24/14 3:21:01 AM,C,19.473
7/24/14 3:36:01 AM,C,19.411
7/24/14 3:51:01 AM,C,19.348
7/24/14 4:06:01 AM,C,19.286
7/24/14 4:21:01 AM,C,19.223
7/24/14 4:36:01 AM,C,19.16
7/24/14 4:51:01 AM,C,19.098
7/24/14 5:06:01 AM,C,19.035
7/24/14 5:21:01 AM,C,19.035
7/24/14 5:36:01 AM,C,18.972
7/24/14 5:51:01 AM,C,18.91
7/24/14 6:06:01 AM,C,18.847
7/24/14 6:21:01 AM,C,18.785
7/24/14 6:36:01 AM,C,18.785
7/24/14 6:51:01 AM,C,18.722
7/24/14 7:06:01 AM,C,18.722
7/24/14 7:21:01 AM,C,18.659
7/24/14 7:36:01 AM,C,18.597
7/24/14 7:51:01 AM,C,18.597
7/24/14 8:06:01 AM,C,18.597
7/24/14 8:21:01 AM,C,18.597
7/24/14 8:36:01 AM,C,18.597
7/24/14 8:51:01 AM,C,18.597
7/24/14 9:06:01 AM,C,18.659
7/24/14 9:21:01 AM,C,18.722
7/24/14 9:36:01 AM,C,18.847
7/24/14 9:51:01 AM,C,18.972
7/24/14 10:06:01 AM,C,19.098
7/24/14 10:21:01 AM,C,19.223
7/24/14 10:36:01 AM,C,19.286
7/24/14 10:51:01 AM,C,19.473
7/24/14 11:06:01 AM,C,19.786
7/24/14 11:21:01 AM,C,20.099
7/24/14 11:36:01 AM,C,20.475
7/24/14 11:51:01 AM,C,20.913
7/24/14 12:06:01 PM,C,21.852
7/24/14 12:21:01 PM,C,22.665
7/24/14 12:36:01 PM,C,22.978
7/24/14 12:51:01 PM,C,23.165
7/24/14 1:06:01 PM,C,23.415
7/24/14 1:21:01 PM,C,23.603
