Algae	Treatment	info	Type	PAR	ETR	Fo
Blank	Marg	75	FO	1	0.2	-
Blank	Marg	75	F	154	21.7	72
Blank	Marg	75	F	335	39.3	68
Blank	Marg	75	F	486	53.1	64
Blank	Marg	75	F	652	67.6	63
Blank	Marg	75	F	975	79	59
Blank	Marg	75	F	1302	87.5	56
Blank	Marg	75	F	1803	102.2	52
Blank	Marg	75	F	2632	117.2	48
Blank	Marg	83	FO	1	0.2	-
Blank	Marg	83	F	335	40.2	66
Blank	Marg	83	F	486	56.9	63
Blank	Marg	83	F	652	69.3	61
Blank	Marg	83	F	975	84.8	58
Blank	Marg	83	F	1302	99.5	57
Blank	Marg	83	F	1803	101.5	54
Blank	Marg	83	F	2632	113.9	52
Blank	Marg	170	FO	1	0.3	-
Blank	Marg	170	F	335	42.9	148
Blank	Marg	170	F	486	60.6	139
Blank	Marg	170	F	652	71.7	131
Blank	Marg	170	F	975	95	127
Blank	Marg	170	F	1302	105.5	122
Blank	Marg	170	F	1803	118.1	118
Blank	Marg	170	F	2632	120.5	114
Blank	Thal	198	FO	1	0.2	-
Blank	Thal	198	F	154	19.1	174
Blank	Thal	198	F	335	33.9	160
Blank	Thal	198	F	486	42.3	147
Blank	Thal	198	F	652	47.9	141
Blank	Thal	198	F	975	56.5	133
Blank	Thal	198	F	1302	69.4	127
Blank	Thal	198	F	1803	73.5	119
Blank	Thal	198	F	2632	58.6	111
Blank	Thal	375	FO	1	0.2	-
Blank	Thal	375	F	335	33.5	340
Blank	Thal	375	F	486	45.1	320
Blank	Thal	375	F	652	57.8	303
Blank	Thal	375	F	975	70.4	282
Blank	Thal	375	F	1302	79.8	263
Blank	Thal	375	F	1803	88.6	247
Blank	Thal	375	F	2632	88.4	229
Blank	Thal	410	FO	1	NA	-
Blank	Thal	430	FO	1	0.2	-
Blank	Thal	430	F	335	37.8	374
Blank	Thal	430	F	486	52.9	348
Blank	Thal	430	F	652	66	327
Blank	Thal	430	F	975	79	298
Blank	Thal	430	F	1302	86.9	282
Blank	Thal	430	F	1803	93.1	259
Blank	Thal	430	F	2632	106.1	239
