ArrayID	dark	taken	deploy	Date
2.1	12:54		13:36	6/9/15
2.4	12:54		14:22	6/9/15
c3.1	13:52		14:35	6/9/15
c4.1	13:50		14:35	6/9/15
1.1	13:21		13:57	6/9/15
1.4	13:22		14:07	6/9/15
c1.1	13:32		14:12	6/9/15
c2.1	13:32		14:22	6/9/15
3.1	14:00		14:42	6/9/15
3.4	14:03		14:49	6/9/15
c5.1	14:15		14:57	6/9/15
c6.1	14:19		15:07	6/9/15
4.1	14:34		15:23	6/9/15
4.4	14:33		15:28	6/9/15
c7.1	14:58		15:30	6/9/15
c8.1	14:59		15:35	6/9/15
1.2	15:15		15:40	6/9/15
1.5	15:15		15:55	6/9/15
c1.2	15:26		16:03	6/9/15
c2.2	15:26		16:12	6/9/15
3.2	15:33		16:33	6/9/15
3.5	15:34		16:36	6/9/15
c5.2	15:39		16:45	6/9/15
c6.2	15:39		16:53	6/9/15
4.2	16:30		17:00	6/9/15
4.5	16:30		17:15	6/9/15
c7.2	16:40		17:30	6/9/15
c8.2	16:40		17:45	6/9/15
2.2	17:02		18:16	6/9/15
2.5	17:00		18:09	6/9/15
c3.2	17:16		17:58	6/9/15
c4.2	17:16		17:59	6/9/15
1.3	15:32		18:31	6/9/15
1.6	15:32		18:23	6/9/15
c1.3	17:54		18:40	6/9/15
c2.3	17:54		18:41	6/9/15
3.3	18:05		18:58	6/9/15
3.6	18:07		18:48	6/9/15
c5.3	18:20		19:05	6/9/15
c6.3	18:20		19:05	6/9/15
4.3	18:34		19:38	6/9/15
4.6	18:34		19:21	6/9/15
c7.3	18:43		19:46	6/9/15
c8.3	18:44		19:43	6/9/15
2.3	17:01		20:01	6/9/15
2.6	17:02		19:54	6/9/15
c3.3	19:20		20:09	6/9/15
c4.3	19:21		20:10	6/9/15
2.1	10:08		11:00	6/10/15
2.4	10:21		11:11	6/10/15
c3.1	10:36		11:17	6/10/15
c4.1	10:45		11:32	6/10/15
1.1	11:11		11:42	6/10/15
1.4	11:21		12:11	6/10/15
c1.1	11:03		12:24	6/10/15
c21.1	11:35		12:26	6/10/15
3.1	11:41		12:53	6/10/15
3.4	12:03		12:38	6/10/15
c5.1	12:27	12:43	13:04	6/10/15
c6.1	13:20	13:41	13:54	6/10/15
4.1	12:38	12:58	13:26	6/10/15
4.4	12:48	13:06	13:38	6/10/15
c7.1	13:37	13:54	13:59	6/10/15
c8.1	13:04	13:35	13:54	6/10/15
1.2	13:45	14:08	14:25	6/10/15
1.5	13:55	14:14	14:44	6/10/15
c1.2	15:17	15:41	15:59	6/10/15
c2.2	14:10	14:24	14:50	6/10/15
3.2	14:19	14:42	15:03	6/10/15
3	14:29	14:59	15:10	6/10/15
c5.2	14:51	15:08	15:18	6/10/15
c6.2	15:06	15:13	15:26	6/10/15
4.2	15:10	15:31	15:44	6/10/15
4.5	15:13	15:38	15:53	6/10/15
c7.2	15:30	15:54	16:02	6/10/15
c8.2	15:37	16:00	16:10	6/10/15
2.2	15:47	16:04	16:18	6/10/15
2.5	15:57	16:07	16:30	6/10/15
c3.2	16:07	16:21	16:42	6/10/15
c4.2	16:12	16:28	16:42	6/10/15
1.3	16:20	16:40	16:51	6/10/15
1.6	16:30	16:43	17:02	6/10/15
c1.3	16:40	16:52	17:15	6/10/15
3.3	16:50	17:05	17:27	6/10/15
3.6	17:00	17:17	17:33	6/10/15
c5.3	17:44	18:06	18:32	6/10/15
c6.3	17:15	17:30	17:58	6/10/15
4.3	17:20	17:45	18:05	6/10/15
4.6	17:30	17:56	18:29	6/10/15
c7.3	17:40	18:20	18:35	6/10/15
c8.3	17:45	18:31	18:42	6/10/15
2.3	17:51	18:35	19:07	6/10/15
2.6	18:02	18:40	19:07	6/10/15
c3.3	18:12	18:50	19:07	6/10/15
c4.3	18:17	18:50	19:10	6/10/15
2.1	09:17	09:38	09:53	6/11/15
2.4	09:27	09:42	10:03	6/11/15
c3.1	09:37	09:51	10:03	6/11/15
c4.1	09:42	09:56	10:18	6/11/15
1.1	09:47	10:04	10:18	6/11/15
1.4	09:57	10:12	10:28	6/11/15
c1.1	10:07	10:20	10:33	6/11/15
c2.1	10:12	10:29	10:44	6/11/15
3.1	10:17	10:36	10:55	6/11/15
3.4	10:27	10:47	11:05	6/11/15
c5.1	10:37	10:52	11:09	6/11/15
c6.1	10:42	10:55	11:19	6/11/15
4.1	10:46	11:07	11:31	6/11/15
4.4	10:57	11:14	11:39	6/11/15
c7.1	11:07	11:24	11:47	6/11/15
c8.1	11:12	11:35	11:52	6/11/15
1.2	11:20	11:54	12:14	6/11/15
1.5	11:34	12:00	12:22	6/11/15
c1.2	11:55	12:13	12:35	6/11/15
c2.2	12:00	12:19	12:36	6/11/15
3.2	12:27	12:50	13:08	6/11/15
3.5	12:15	12:30	12:55	6/11/15
c5.2	12:25	12:45	12:58	6/11/15
c6.2	12:30	12:53	12:08	6/11/15
4.2	12:40	13:08	13:20	6/11/15
4.5	12:53	13:17	13:36	6/11/15
c7.2	13:03	13:25	13:46	6/11/15
c8.2	13:08	13:33	13:49	6/11/15
2.2	13:13	13:41	14:01	6/11/15
2.5	13:23	13:52	14:17	6/11/15
c3.2	13:33	14:00	14:27	6/11/15
c4.2	13:38	14:12	14:33	6/11/15
1.3	13:45	14:20	14:43	6/11/15
1.6	13:55	14:29	14:53	6/11/15
c1.3	14:05	14:36	15:01	6/11/15
c2.3	14:10	14:50	15:03	6/11/15
3.3	15:45	16:40	16:55	6/11/15
3.6	14:25	15:00	15:19	6/11/15
c5.3	14:35	15:08	15:20	6/11/15
c6.3	14:40	15:15	15:23	6/11/15
4.3	14:45	15:21	16:16	6/11/15
4.6	14:55	15:25	15:47	6/11/15
c7.3	15:05	15:40	16:15	6/11/15
c8.3	15:10	15:53	16:18	6/11/15
2.3	15:15	16:15	16:24	6/11/15
2.6	15:25	16:20	16:32	6/11/15
c3.3	15:35	16:25	16:40	6/11/15
c4.3	15:40	16:30	16:45	6/11/15
2.1	09:15	09:34	09:45	6/15/15
2.4	09:25	09:40	09:57	6/15/15
c3.1	09:35	09:48	10:03	6/15/15
c4.1	09:40	09:52	10:08	6/15/15
1.1	09:45	09:59	10:14	6/15/15
1.4	09:55	10:05	10:22	6/15/15
c1.1	10:05	10:13	10:35	6/15/15
c2.1	10:10	10:18	10:35	6/15/15
3.1	10:15	10:30	10:47	6/15/15
3.4	10:25	10:38	11:00	6/15/15
c5.1	10:35	10:48	11:07	6/15/15
c6.1	10:40	11:01	11:12	6/15/15
4.1	10:45	11:08	11:26	6/15/15
4.4	10:55	11:15	11:32	6/15/15
c7.1	11:05	11:25	11:42	6/15/15
c8.1	11:10	11:30	11:50	6/15/15
1.2	11:20	11:55	12:13	6/15/15
1.5	11:30	11:55	12:23	6/15/15
c1.2	11:40	12:07	12:31	6/15/15
c2.2	11:45	12:20	12:39	6/15/15
3.2	11:50	12:28	12:45	6/15/15
3.5	12:00	12:35	12:54	6/15/15
c5.2	12:10	12:40	13:03	6/15/15
c6.2	12:15	12:51	13:08	6/15/15
4.2	12:25	13:00	13:21	6/15/15
4.5	12:35	13:05	13:31	6/15/15
c7.2	12:45	13:12	13:45	6/15/15
c8.2	12:50	13:19	13:45	6/15/15
2.2	12:55	13:40	13:53	6/15/15
2.5	13:05	13:47	14:05	6/15/15
c3.2	13:15	13:54	14:14	6/15/15
c4.2	13:20	14:00	14:19	6/15/15
1.3	13:55	14:40	15:00	6/15/15
1.6	14:05	14:40	15:04	6/15/15
c1.3	14:15	15:00	15:10	6/15/15
c2.3	14:35	15:00	15:10	6/15/15
3.3	14:40	15:09	15:32	6/15/15
3.6	14:50	15:13	15:49	6/15/15
c5.3	15:15	15:50	16:01	6/15/15
c6.3	15:20	15:55	16:15	6/15/15
4.3	15:25	16:00	16:33	6/15/15
4.6	15:35	16:03	16:33	6/15/15
c7.3	15:45	16:15	16:27	6/15/15
c8.3	15:50	16:31	16:42	6/15/15
2.3	15:55	16:39	16:50	6/15/15
2.6	16:05	16:39	17:02	6/15/15
c3.3	16:15	16:53	17:10	6/15/15
c4.3	16:20	16:58	17:10	6/15/15
