Date	ArrayID	Site	Algae	Treatment	PAR	Fv.Fm	Fo	NPQ	Mem	CapID	Loc	ETR	REG1.alpha	REG1.ETRm	REG1.Ek	REG1.beta	REG1.ETRmPot	REG2.alpha	REG2.ETRm	REG2.Ek	REG1.RSS	REG2.RSS	rss	Day
2015-06-09	2.1	2	Clad	Thal	154	0.427	677	0.435	123	A	2T	17.1	NA	NA	NA	NA	NA	0.10006006066288915	115.9236719462103	1158.5408921224523	NA	39.97247789024498	NA	0
2015-06-09	2.1	2	Clad	Thal	335	0.427	677	0.699	123	A	2T	34	NA	NA	NA	NA	NA	0.10006006066288915	115.9236719462103	1158.5408921224523	NA	39.97247789024498	NA	0
2015-06-09	2.1	2	Clad	Thal	1	0.427	677	NA	123	A	2T	0.2	NA	NA	NA	NA	NA	0.10006006066288915	115.9236719462103	1158.5408921224523	NA	39.97247789024498	NA	0
2015-06-09	2.1	2	Clad	Thal	975	0.427	677	1.054	123	A	2T	77	NA	NA	NA	NA	NA	0.10006006066288915	115.9236719462103	1158.5408921224523	NA	39.97247789024498	NA	0
2015-06-09	2.1	2	Clad	Thal	1302	0.427	677	1.128	123	A	2T	91.9	NA	NA	NA	NA	NA	0.10006006066288915	115.9236719462103	1158.5408921224523	NA	39.97247789024498	NA	0
2015-06-09	2.1	2	Clad	Thal	486	0.427	677	0.872	123	A	2T	46.5	NA	NA	NA	NA	NA	0.10006006066288915	115.9236719462103	1158.5408921224523	NA	39.97247789024498	NA	0
2015-06-09	2.1	2	Clad	Thal	652	0.427	677	0.955	123	A	2T	59.4	NA	NA	NA	NA	NA	0.10006006066288915	115.9236719462103	1158.5408921224523	NA	39.97247789024498	NA	0
2015-06-09	2.1	2	Clad	Thal	1803	0.427	677	1.183	123	A	2T	110.6	NA	NA	NA	NA	NA	0.10006006066288915	115.9236719462103	1158.5408921224523	NA	39.97247789024498	NA	0
2015-06-09	2.1	2	Clad	Thal	2632	0.427	677	1.329	123	A	2T	111.6	NA	NA	NA	NA	NA	0.10006006066288915	115.9236719462103	1158.5408921224523	NA	39.97247789024498	NA	0
2015-06-09	2.1	2	Oed	Thal	1	0.379	1198	NA	133	B	2T	0.2	NA	NA	NA	NA	NA	0.16983552240082844	141.183110915422	831.2931765959776	NA	974.644822150996	NA	0
2015-06-09	2.1	2	Oed	Thal	154	0.379	1198	-0.007	133	B	2T	17.6	NA	NA	NA	NA	NA	0.16983552240082844	141.183110915422	831.2931765959776	NA	974.644822150996	NA	0
2015-06-09	2.1	2	Oed	Thal	652	0.379	1198	0.352	133	B	2T	95.6	NA	NA	NA	NA	NA	0.16983552240082844	141.183110915422	831.2931765959776	NA	974.644822150996	NA	0
2015-06-09	2.1	2	Oed	Thal	975	0.379	1198	0.624	133	B	2T	129.4	NA	NA	NA	NA	NA	0.16983552240082844	141.183110915422	831.2931765959776	NA	974.644822150996	NA	0
2015-06-09	2.1	2	Oed	Thal	1302	0.379	1198	1.14	133	B	2T	137.3	NA	NA	NA	NA	NA	0.16983552240082844	141.183110915422	831.2931765959776	NA	974.644822150996	NA	0
2015-06-09	2.1	2	Oed	Thal	1803	0.379	1198	1.727	133	B	2T	146.9	NA	NA	NA	NA	NA	0.16983552240082844	141.183110915422	831.2931765959776	NA	974.644822150996	NA	0
2015-06-09	2.1	2	Oed	Thal	2632	0.379	1198	1.865	133	B	2T	121.6	NA	NA	NA	NA	NA	0.16983552240082844	141.183110915422	831.2931765959776	NA	974.644822150996	NA	0
2015-06-09	2.1	2	Oed	Thal	335	0.379	1198	0.373	133	B	2T	40.9	NA	NA	NA	NA	NA	0.16983552240082844	141.183110915422	831.2931765959776	NA	974.644822150996	NA	0
2015-06-09	2.1	2	Oed	Thal	486	0.379	1198	0.403	133	B	2T	67.6	NA	NA	NA	NA	NA	0.16983552240082844	141.183110915422	831.2931765959776	NA	974.644822150996	NA	0
2015-06-09	2.4	2	Clad	Marg	1	0.615	1015	NA	142	A	2M	0.3	0.13407125386356836	NaN	NaN	-0.001840977468791751	74.31751347209494	0.10091456734709364	76.03701440107616	753.4790704651031	4.254446515046898	40.17766928832525	Y	0
2015-06-09	2.4	2	Clad	Marg	154	0.615	1015	0.362	142	A	2M	19.9	0.13407125386356836	NaN	NaN	-0.001840977468791751	74.31751347209494	0.10091456734709364	76.03701440107616	753.4790704651031	4.254446515046898	40.17766928832525	Y	0
2015-06-09	2.4	2	Clad	Marg	652	0.615	1015	0.993	142	A	2M	52.3	0.13407125386356836	NaN	NaN	-0.001840977468791751	74.31751347209494	0.10091456734709364	76.03701440107616	753.4790704651031	4.254446515046898	40.17766928832525	Y	0
2015-06-09	2.4	2	Clad	Marg	975	0.615	1015	1.142	142	A	2M	63.1	0.13407125386356836	NaN	NaN	-0.001840977468791751	74.31751347209494	0.10091456734709364	76.03701440107616	753.4790704651031	4.254446515046898	40.17766928832525	Y	0
2015-06-09	2.4	2	Clad	Marg	335	0.615	1015	0.638	142	A	2M	33.3	0.13407125386356836	NaN	NaN	-0.001840977468791751	74.31751347209494	0.10091456734709364	76.03701440107616	753.4790704651031	4.254446515046898	40.17766928832525	Y	0
2015-06-09	2.4	2	Clad	Marg	486	0.615	1015	0.832	142	A	2M	43.3	0.13407125386356836	NaN	NaN	-0.001840977468791751	74.31751347209494	0.10091456734709364	76.03701440107616	753.4790704651031	4.254446515046898	40.17766928832525	Y	0
2015-06-09	2.4	2	Clad	Marg	2632	0.615	1015	1.531	142	A	2M	78.5	0.13407125386356836	NaN	NaN	-0.001840977468791751	74.31751347209494	0.10091456734709364	76.03701440107616	753.4790704651031	4.254446515046898	40.17766928832525	Y	0
2015-06-09	2.4	2	Clad	Marg	1803	0.615	1015	1.402	142	A	2M	75	0.13407125386356836	NaN	NaN	-0.001840977468791751	74.31751347209494	0.10091456734709364	76.03701440107616	753.4790704651031	4.254446515046898	40.17766928832525	Y	0
2015-06-09	2.4	2	Clad	Marg	1302	0.615	1015	1.277	142	A	2M	69.4	0.13407125386356836	NaN	NaN	-0.001840977468791751	74.31751347209494	0.10091456734709364	76.03701440107616	753.4790704651031	4.254446515046898	40.17766928832525	Y	0
2015-06-09	1.1	1	Clad	Thal	154	0.552	1124	0.408	160	A	1T	25.5	0.1803106579173494	133.7323963916809	741.677712988996	0.13400798525865917	439.28826978129314	0.15672175755765433	133.17173591812204	849.7335532313133	5.588933915454752	18.474449718684546	Y	0
2015-06-09	1.1	1	Clad	Thal	335	0.552	1124	0.625	160	A	1T	50.4	0.1803106579173494	133.7323963916809	741.677712988996	0.13400798525865917	439.28826978129314	0.15672175755765433	133.17173591812204	849.7335532313133	5.588933915454752	18.474449718684546	Y	0
2015-06-09	1.1	1	Clad	Thal	486	0.552	1124	0.763	160	A	1T	67.8	0.1803106579173494	133.7323963916809	741.677712988996	0.13400798525865917	439.28826978129314	0.15672175755765433	133.17173591812204	849.7335532313133	5.588933915454752	18.474449718684546	Y	0
2015-06-09	1.1	1	Clad	Thal	975	0.552	1124	1.099	160	A	1T	107.7	0.1803106579173494	133.7323963916809	741.677712988996	0.13400798525865917	439.28826978129314	0.15672175755765433	133.17173591812204	849.7335532313133	5.588933915454752	18.474449718684546	Y	0
2015-06-09	1.1	1	Clad	Thal	1302	0.552	1124	1.303	160	A	1T	123.6	0.1803106579173494	133.7323963916809	741.677712988996	0.13400798525865917	439.28826978129314	0.15672175755765433	133.17173591812204	849.7335532313133	5.588933915454752	18.474449718684546	Y	0
2015-06-09	1.1	1	Clad	Thal	1803	0.552	1124	1.543	160	A	1T	131	0.1803106579173494	133.7323963916809	741.677712988996	0.13400798525865917	439.28826978129314	0.15672175755765433	133.17173591812204	849.7335532313133	5.588933915454752	18.474449718684546	Y	0
2015-06-09	1.1	1	Clad	Thal	652	0.552	1124	0.897	160	A	1T	85.2	0.1803106579173494	133.7323963916809	741.677712988996	0.13400798525865917	439.28826978129314	0.15672175755765433	133.17173591812204	849.7335532313133	5.588933915454752	18.474449718684546	Y	0
2015-06-09	1.1	1	Clad	Thal	1	0.552	1124	NA	160	A	1T	0.2	0.1803106579173494	133.7323963916809	741.677712988996	0.13400798525865917	439.28826978129314	0.15672175755765433	133.17173591812204	849.7335532313133	5.588933915454752	18.474449718684546	Y	0
2015-06-09	1.1	1	Clad	Thal	2632	0.552	1124	1.852	160	A	1T	130.4	0.1803106579173494	133.7323963916809	741.677712988996	0.13400798525865917	439.28826978129314	0.15672175755765433	133.17173591812204	849.7335532313133	5.588933915454752	18.474449718684546	Y	0
2015-06-09	1.1	1	Oed	Thal	1	0.27	952	NA	169	B	1T	0.1	NA	NA	NA	NA	NA	0.14298544174748537	114.3748142840271	799.90531124151	NA	227.3368510053125	NA	0
2015-06-09	1.1	1	Oed	Thal	154	0.27	952	0.115	169	B	1T	14.6	NA	NA	NA	NA	NA	0.14298544174748537	114.3748142840271	799.90531124151	NA	227.3368510053125	NA	0
2015-06-09	1.1	1	Oed	Thal	1803	0.27	952	1.678	169	B	1T	109	NA	NA	NA	NA	NA	0.14298544174748537	114.3748142840271	799.90531124151	NA	227.3368510053125	NA	0
2015-06-09	1.1	1	Oed	Thal	652	0.27	952	0.396	169	B	1T	81.6	NA	NA	NA	NA	NA	0.14298544174748537	114.3748142840271	799.90531124151	NA	227.3368510053125	NA	0
2015-06-09	1.1	1	Oed	Thal	975	0.27	952	0.757	169	B	1T	102.8	NA	NA	NA	NA	NA	0.14298544174748537	114.3748142840271	799.90531124151	NA	227.3368510053125	NA	0
2015-06-09	1.1	1	Oed	Thal	1302	0.27	952	1.206	169	B	1T	105.5	NA	NA	NA	NA	NA	0.14298544174748537	114.3748142840271	799.90531124151	NA	227.3368510053125	NA	0
2015-06-09	1.1	1	Oed	Thal	335	0.27	952	0.395	169	B	1T	35.5	NA	NA	NA	NA	NA	0.14298544174748537	114.3748142840271	799.90531124151	NA	227.3368510053125	NA	0
2015-06-09	1.1	1	Oed	Thal	2632	0.27	952	2.026	169	B	1T	112.8	NA	NA	NA	NA	NA	0.14298544174748537	114.3748142840271	799.90531124151	NA	227.3368510053125	NA	0
2015-06-09	1.1	1	Oed	Thal	486	0.27	952	0.435	169	B	1T	63.5	NA	NA	NA	NA	NA	0.14298544174748537	114.3748142840271	799.90531124151	NA	227.3368510053125	NA	0
2015-06-09	1.4	1	Clad	Marg	1	0.537	898	NA	178	A	1M	0.2	0.16773485808246089	107.92844670202645	643.4467345420071	0.013656982724047929	144.0742915363914	0.13737563143543388	107.1928136962097	780.2898707445795	1.6111015888988642	12.821932318233253	Y	0
2015-06-09	1.4	1	Clad	Marg	154	0.537	898	0.382	178	A	1M	23.1	0.16773485808246089	107.92844670202645	643.4467345420071	0.013656982724047929	144.0742915363914	0.13737563143543388	107.1928136962097	780.2898707445795	1.6111015888988642	12.821932318233253	Y	0
2015-06-09	1.4	1	Clad	Marg	486	0.537	898	0.781	178	A	1M	58.6	0.16773485808246089	107.92844670202645	643.4467345420071	0.013656982724047929	144.0742915363914	0.13737563143543388	107.1928136962097	780.2898707445795	1.6111015888988642	12.821932318233253	Y	0
2015-06-09	1.4	1	Clad	Marg	652	0.537	898	0.881	178	A	1M	72.3	0.16773485808246089	107.92844670202645	643.4467345420071	0.013656982724047929	144.0742915363914	0.13737563143543388	107.1928136962097	780.2898707445795	1.6111015888988642	12.821932318233253	Y	0
2015-06-09	1.4	1	Clad	Marg	975	0.537	898	1.035	178	A	1M	89.7	0.16773485808246089	107.92844670202645	643.4467345420071	0.013656982724047929	144.0742915363914	0.13737563143543388	107.1928136962097	780.2898707445795	1.6111015888988642	12.821932318233253	Y	0
2015-06-09	1.4	1	Clad	Marg	335	0.537	898	0.604	178	A	1M	45.4	0.16773485808246089	107.92844670202645	643.4467345420071	0.013656982724047929	144.0742915363914	0.13737563143543388	107.1928136962097	780.2898707445795	1.6111015888988642	12.821932318233253	Y	0
2015-06-09	1.4	1	Clad	Marg	1302	0.537	898	1.183	178	A	1M	99.5	0.16773485808246089	107.92844670202645	643.4467345420071	0.013656982724047929	144.0742915363914	0.13737563143543388	107.1928136962097	780.2898707445795	1.6111015888988642	12.821932318233253	Y	0
2015-06-09	1.4	1	Clad	Marg	2632	0.537	898	1.518	178	A	1M	107.2	0.16773485808246089	107.92844670202645	643.4467345420071	0.013656982724047929	144.0742915363914	0.13737563143543388	107.1928136962097	780.2898707445795	1.6111015888988642	12.821932318233253	Y	0
2015-06-09	1.4	1	Clad	Marg	1803	0.537	898	1.325	178	A	1M	106	0.16773485808246089	107.92844670202645	643.4467345420071	0.013656982724047929	144.0742915363914	0.13737563143543388	107.1928136962097	780.2898707445795	1.6111015888988642	12.821932318233253	Y	0
2015-06-09	1.4	1	Oed	Marg	1	0.36	1779	NA	187	B	1M	0.2	0.172833280213499	93.65451422520091	541.87778019089	0.22417437193259537	451.4879570724763	0.15394146435666306	89.23019531218519	579.6371736821343	333.64890033009556	406.3289768833849	Y	0
2015-06-09	1.4	1	Oed	Marg	154	0.36	1779	0.282	187	B	1M	14.7	0.172833280213499	93.65451422520091	541.87778019089	0.22417437193259537	451.4879570724763	0.15394146435666306	89.23019531218519	579.6371736821343	333.64890033009556	406.3289768833849	Y	0
2015-06-09	1.4	1	Oed	Marg	1803	0.36	1779	2.072	187	B	1M	85.6	0.172833280213499	93.65451422520091	541.87778019089	0.22417437193259537	451.4879570724763	0.15394146435666306	89.23019531218519	579.6371736821343	333.64890033009556	406.3289768833849	Y	0
2015-06-09	1.4	1	Oed	Marg	652	0.36	1779	0.626	187	B	1M	81.3	0.172833280213499	93.65451422520091	541.87778019089	0.22417437193259537	451.4879570724763	0.15394146435666306	89.23019531218519	579.6371736821343	333.64890033009556	406.3289768833849	Y	0
2015-06-09	1.4	1	Oed	Marg	975	0.36	1779	1.05	187	B	1M	92.5	0.172833280213499	93.65451422520091	541.87778019089	0.22417437193259537	451.4879570724763	0.15394146435666306	89.23019531218519	579.6371736821343	333.64890033009556	406.3289768833849	Y	0
2015-06-09	1.4	1	Oed	Marg	335	0.36	1779	0.685	187	B	1M	37.7	0.172833280213499	93.65451422520091	541.87778019089	0.22417437193259537	451.4879570724763	0.15394146435666306	89.23019531218519	579.6371736821343	333.64890033009556	406.3289768833849	Y	0
2015-06-09	1.4	1	Oed	Marg	486	0.36	1779	0.628	187	B	1M	61.4	0.172833280213499	93.65451422520091	541.87778019089	0.22417437193259537	451.4879570724763	0.15394146435666306	89.23019531218519	579.6371736821343	333.64890033009556	406.3289768833849	Y	0
2015-06-09	1.4	1	Oed	Marg	2632	0.36	1779	2.267	187	B	1M	80.7	0.172833280213499	93.65451422520091	541.87778019089	0.22417437193259537	451.4879570724763	0.15394146435666306	89.23019531218519	579.6371736821343	333.64890033009556	406.3289768833849	Y	0
2015-06-09	1.4	1	Oed	Marg	1302	0.36	1779	1.586	187	B	1M	89.7	0.172833280213499	93.65451422520091	541.87778019089	0.22417437193259537	451.4879570724763	0.15394146435666306	89.23019531218519	579.6371736821343	333.64890033009556	406.3289768833849	Y	0
2015-06-09	c1.1	1	Peri	Thal	1	0.418	622	NA	206	COB	1T	0.2	NA	NA	NA	NA	NA	0.06271396040195694	54.19148892016233	864.105672370698	NA	21.198525057728848	NA	0
2015-06-09	c1.1	1	Peri	Thal	1803	0.418	622	2.448	206	COB	1T	56	NA	NA	NA	NA	NA	0.06271396040195694	54.19148892016233	864.105672370698	NA	21.198525057728848	NA	0
2015-06-09	c1.1	1	Peri	Thal	652	0.418	622	1.509	206	COB	1T	34.8	NA	NA	NA	NA	NA	0.06271396040195694	54.19148892016233	864.105672370698	NA	21.198525057728848	NA	0
2015-06-09	c1.1	1	Peri	Thal	975	0.418	622	1.806	206	COB	1T	41.8	NA	NA	NA	NA	NA	0.06271396040195694	54.19148892016233	864.105672370698	NA	21.198525057728848	NA	0
2015-06-09	c1.1	1	Peri	Thal	1302	0.418	622	2.081	206	COB	1T	48.7	NA	NA	NA	NA	NA	0.06271396040195694	54.19148892016233	864.105672370698	NA	21.198525057728848	NA	0
2015-06-09	c1.1	1	Peri	Thal	2632	0.418	622	2.845	206	COB	1T	52	NA	NA	NA	NA	NA	0.06271396040195694	54.19148892016233	864.105672370698	NA	21.198525057728848	NA	0
2015-06-09	c1.1	1	Peri	Thal	335	0.418	622	0.8	206	COB	1T	20.4	NA	NA	NA	NA	NA	0.06271396040195694	54.19148892016233	864.105672370698	NA	21.198525057728848	NA	0
2015-06-09	c1.1	1	Peri	Thal	486	0.418	622	1.147	206	COB	1T	28.4	NA	NA	NA	NA	NA	0.06271396040195694	54.19148892016233	864.105672370698	NA	21.198525057728848	NA	0
2015-06-09	2.4	2	Oed	Marg	652	0.704	1040	1.512	216	B	2M	83.2	0.2887330007473742	93.18485397176168	322.7371091304295	0.008895581765761553	107.02664342762081	0.23056843444898698	90.61423522297726	393.00364527142403	20.594555317059665	32.10660597469838	Y	0
