Date,ArrayID,CapID,Site,Loc,Algae,Treatment,Mem,info.Fo,Notes
15-Jun-15,1,G,1,1M,Blank,Marg,917,75,
15-Jun-15,1,H,1,1T,Blank,Thal,908,198,
15-Jun-15,1.1,A,1,1T,Clad,Thal,166,913,
15-Jun-15,1.1,B,1,1T,Oed,Thal,176,1540,
15-Jun-15,1.2,C,1,1T,Clad,Thal,377,635,
15-Jun-15,1.2,D,1,1T,Oed,Thal,387,1609,
15-Jun-15,1.3,E,1,1T,Clad,Thal,646,580,
15-Jun-15,1.3,F,1,1T,Oed,Thal,657,,
15-Jun-15,1.4,A,1,1M,Clad,Marg,186,895,
15-Jun-15,1.4,B,1,1M,Oed,Marg,196,1390,
15-Jun-15,1.5,C,1,1M,Clad,Marg,397,780,
15-Jun-15,1.5,D,1,1M,Oed,Marg,407,1427,
15-Jun-15,1.6,E,1,1M,Clad,Marg,667,828,
15-Jun-15,1.6,F,1,1M,Oed,Marg,677,1423,
15-Jun-15,2,G,2,2M,Blank,Marg,983,40,
15-Jun-15,2,H,2,2T,Blank,Thal,926,410,
15-Jun-15,2.1,A,2,2T,Clad,Thal,113,910,
15-Jun-15,2.1,B,2,2T,Oed,Thal,367,1360,
15-Jun-15,2.2,C,2,2T,Clad,Thal,570,980,
15-Jun-15,2.2,D,2,2T,Oed,Thal,580,1482,
15-Jun-15,2.3,E,2,2T,Clad,Thal,849,1260,
15-Jun-15,2.3,F,2,2T,Oed,Thal,859,1534,
15-Jun-15,2.4,A,2,2M,Clad,Marg,128,655,
15-Jun-15,2.4,B,2,2M,Oed,Marg,138,1323,
15-Jun-15,2.5,C,2,2M,Clad,Marg,590,885,
15-Jun-15,2.5,D,2,2M,Oed,Marg,600,1685,
15-Jun-15,2.6,E,2,2M,Clad,Marg,869,1017,
15-Jun-15,2.6,F,2,2M,Oed,Marg,974,1230,
15-Jun-15,3,G,3,3M,Blank,Marg,946,83,
15-Jun-15,3,H,3,3T,Blank,Thal,928,430,
15-Jun-15,3.1,A,3,3T,Clad,Thal,233,1045,
15-Jun-15,3.1,B,3,3T,Oed,Thal,243,1365,
15-Jun-15,3.2,C,3,3T,Clad,Thal,435,1082,
15-Jun-15,3.2,D,3,3T,Oed,Thal,445,1335,
