"2015-06-10";"07:14:12";"WinControl (rev 848) report file"
"Datetime";"Time (abs/ms)";"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Temp";"1:Y (II)";"1:ETR";"1:Fo'";"1:ETR-F.";"1:Depth";"1:qP";"1:qN";"1:qL";"1:NPQ";"1:Y (NO)";"1:Y (NPQ)";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"0";"0";"";"";"D";"";"Device Nr: #1, Diving-PAM ";""
"2015-06-09 10:27:14.999";"1433870834999";"0";"2015-06-09";"10:27:14";"SLCS";"";"Light Curve start ";""
"2015-06-09 10:27:14.999";"1433870834999";"0";"2015-06-09";"10:27:14";"SCHS";"";"Chart start ";""
"2015-06-09 10:27:14.999";"1433870834999";"0";"2015-06-09";"10:27:14";"REG1";"";"#1: alpha: 0.145, ETRm: 30.230, Ik: 208.707   ( beta: 0.002, ETRmPot: 32.793 ) ";""
"2015-06-09 10:27:14.999";"1433870834999";"0";"2015-06-09";"10:27:14";"REG2";"";"#1: alpha: 0.112, ETRm: 28.983, Ik: 258.448 ";""
"2015-06-09 10:27:15.000";"1433870835000";"1";"2015-06-09";"10:27:15";"FO";"1";"304";"644";"1";"23.0";"0.528";"0.2";"-";"0.84";"0.6";"-";"-";"-";"-";"-";"-";"304";"644";"0.528"
"2015-06-09 10:27:43.000";"1433870863000";"28001";"2015-06-09";"10:27:43";"F";"2";"283";"360";"215";"23.0";"0.214";"19.3";"222";"0.84";"0.7";"0.558";"0.594";"0.438";"0.789";"0.439";"0.347";"304";"644";"0.528"
"2015-06-09 10:28:13.000";"1433870893000";"58001";"2015-06-09";"10:28:13";"F";"3";"215";"271";"257";"23.0";"0.207";"22.3";"184";"0.84";"0.7";"0.644";"0.744";"0.551";"1.376";"0.334";"0.459";"304";"644";"0.528"
"2015-06-09 10:28:42.000";"1433870922000";"87001";"2015-06-09";"10:28:42";"F";"4";"181";"212";"425";"23.0";"0.146";"26.1";"155";"0.84";"0.7";"0.544";"0.832";"0.466";"2.038";"0.281";"0.573";"304";"644";"0.528"
"2015-06-09 10:29:12.000";"1433870952000";"117001";"2015-06-09";"10:29:12";"F";"5";"156";"179";"566";"23.0";"0.128";"30.4";"137";"0.84";"0.7";"0.548";"0.876";"0.481";"2.598";"0.242";"0.630";"304";"644";"0.528"
"2015-06-09 10:29:41.000";"1433870981000";"146001";"2015-06-09";"10:29:41";"F";"6";"138";"151";"854";"24.0";"0.086";"30.8";"120";"0.84";"0.7";"0.419";"0.909";"0.364";"3.265";"0.214";"0.700";"304";"644";"0.528"
"2015-06-09 10:30:10.000";"1433871010000";"175001";"2015-06-09";"10:30:10";"F";"7";"123";"129";"1284";"24.0";"0.047";"25.3";"105";"0.84";"0.7";"0.250";"0.929";"0.213";"3.992";"0.191";"0.762";"304";"644";"0.528"
