"2015-06-12";"07:05:12";"WinControl (rev 848) report file"
"Datetime";"Time (abs/ms)";"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:Mark";"1:F";"1:Fm'";"1:PAR";"1:Temp";"1:Y (II)";"1:ETR";"1:Fo'";"1:ETR-F.";"1:Depth";"1:qP";"1:qN";"1:qL";"1:NPQ";"1:Y (NO)";"1:Y (NPQ)";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"0";"0";"";"";"D";"";"Device Nr: #1, Diving-PAM ";""
"2015-06-11 09:30:27.999";"1434040227999";"0";"2015-06-11";"09:30:27";"SCHS";"";"Chart start ";""
"2015-06-11 09:30:28.000";"1434040228000";"1";"2015-06-11";"09:30:28";"F";"1";"D";"17";"27";"1";"19.0";"-";"-";"-";"0.84";"0.5";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"2015-06-11 09:30:59.999";"1434040259999";"32000";"2015-06-11";"09:30:59";"SLCS";"";"Light Curve start ";""
"2015-06-11 09:31:00.000";"1434040260000";"32001";"2015-06-11";"09:31:00";"FO";"2";"l";"0";"0";"1";"19.0";"-";"-";"-";"0.84";"0.5";"-";"-";"-";"-";"-";"-";"0";"0";"-"
"2015-06-11 09:31:19.000";"1434040279000";"51001";"2015-06-11";"09:31:19";"F";"3";"D";"0";"0";"154";"19.0";"-";"-";"-";"0.84";"0.5";"-";"-";"-";"-";"-";"-";"0";"0";"-"
"2015-06-11 09:31:39.000";"1434040299000";"71001";"2015-06-11";"09:31:39";"F";"4";"D";"0";"0";"335";"19.0";"-";"-";"-";"0.84";"0.5";"-";"-";"-";"-";"-";"-";"0";"0";"-"
"2015-06-11 09:31:58.000";"1434040318000";"90001";"2015-06-11";"09:31:58";"F";"5";"D";"0";"0";"486";"19.0";"-";"-";"-";"0.84";"0.5";"-";"-";"-";"-";"-";"-";"0";"0";"-"
"2015-06-11 09:32:18.000";"1434040338000";"110001";"2015-06-11";"09:32:18";"F";"6";"D";"0";"0";"652";"19.0";"-";"-";"-";"0.84";"0.5";"-";"-";"-";"-";"-";"-";"0";"0";"-"
"2015-06-11 09:32:38.000";"1434040358000";"130001";"2015-06-11";"09:32:38";"F";"7";"D";"0";"0";"975";"19.0";"-";"-";"-";"0.84";"0.5";"-";"-";"-";"-";"-";"-";"0";"0";"-"
