1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 45000000347CB641
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Tue Jun 09 23:00:01 PDT 2015
Mission Sample Count:  1136
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Tue Jun 09 23:00:01 PDT 2015
Total Mission Samples:  1136
Total Device Samples:  10838
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/9/15 11:00:01 PM,C,28.418
6/9/15 11:10:01 PM,C,25.67
6/9/15 11:20:01 PM,C,25.295
6/9/15 11:30:01 PM,C,25.545
6/9/15 11:40:01 PM,C,25.857
6/9/15 11:50:01 PM,C,25.045
6/10/15 12:00:01 AM,C,24.607
6/10/15 12:10:01 AM,C,24.295
6/10/15 12:20:01 AM,C,24.045
6/10/15 12:30:01 AM,C,23.857
6/10/15 12:40:01 AM,C,23.607
6/10/15 12:50:01 AM,C,23.482
6/10/15 1:00:01 AM,C,23.295
6/10/15 1:10:01 AM,C,23.17
6/10/15 1:20:01 AM,C,23.045
6/10/15 1:30:01 AM,C,22.919
6/10/15 1:40:01 AM,C,22.732
6/10/15 1:50:01 AM,C,22.607
6/10/15 2:00:01 AM,C,22.482
6/10/15 2:10:01 AM,C,22.294
6/10/15 2:20:01 AM,C,22.169
6/10/15 2:30:01 AM,C,22.044
6/10/15 2:40:01 AM,C,21.919
6/10/15 2:50:01 AM,C,21.794
6/10/15 3:00:01 AM,C,21.731
6/10/15 3:10:01 AM,C,21.606
6/10/15 3:20:01 AM,C,21.481
6/10/15 3:30:01 AM,C,21.418
6/10/15 3:40:01 AM,C,21.293
6/10/15 3:50:01 AM,C,21.231
6/10/15 4:00:01 AM,C,21.168
6/10/15 4:10:01 AM,C,21.106
6/10/15 4:20:01 AM,C,21.043
6/10/15 4:30:01 AM,C,20.98
