1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 40000000347E2741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Tue Jun 09 23:09:01 PDT 2015
Mission Sample Count:  1135
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Tue Jun 09 23:09:01 PDT 2015
Total Mission Samples:  1135
Total Device Samples:  1742
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/9/15 11:09:01 PM,C,28.516
6/9/15 11:19:01 PM,C,25.58
6/9/15 11:29:01 PM,C,25.268
6/9/15 11:39:01 PM,C,25.768
6/9/15 11:49:01 PM,C,24.205
6/9/15 11:59:01 PM,C,23.83
6/10/15 12:09:01 AM,C,23.767
6/10/15 12:19:01 AM,C,23.705
6/10/15 12:29:01 AM,C,23.642
6/10/15 12:39:01 AM,C,23.58
6/10/15 12:49:01 AM,C,23.454
6/10/15 12:59:01 AM,C,23.392
6/10/15 1:09:01 AM,C,23.329
6/10/15 1:19:01 AM,C,23.204
6/10/15 1:29:01 AM,C,23.142
6/10/15 1:39:01 AM,C,23.017
6/10/15 1:49:01 AM,C,22.892
6/10/15 1:59:01 AM,C,22.766
6/10/15 2:09:01 AM,C,22.704
6/10/15 2:19:01 AM,C,22.579
6/10/15 2:29:01 AM,C,22.454
6/10/15 2:39:01 AM,C,22.329
6/10/15 2:49:01 AM,C,22.203
6/10/15 2:59:01 AM,C,22.078
6/10/15 3:09:01 AM,C,22.016
6/10/15 3:19:01 AM,C,21.891
6/10/15 3:29:01 AM,C,21.828
6/10/15 3:39:01 AM,C,21.703
6/10/15 3:49:01 AM,C,21.64
6/10/15 3:59:01 AM,C,21.515
6/10/15 4:09:01 AM,C,21.453
6/10/15 4:19:01 AM,C,21.39
6/10/15 4:29:01 AM,C,21.265
6/10/15 4:39:01 AM,C,21.202
6/10/15 4:49:01 AM,C,21.14
6/10/15 4:59:01 AM,C,21.077
6/10/15 5:09:01 AM,C,21.014
6/10/15 5:19:01 AM,C,20.952
6/10/15 5:29:01 AM,C,20.764
6/10/15 5:39:01 AM,C,20.138
6/10/15 5:49:01 AM,C,20.889
6/10/15 5:59:01 AM,C,20.201
6/10/15 6:09:01 AM,C,20.263
6/10/15 6:19:01 AM,C,18.761
6/10/15 6:29:01 AM,C,18.322
6/10/15 6:39:01 AM,C,20.639
6/10/15 6:49:01 AM,C,20.639
6/10/15 6:59:01 AM,C,20.576
6/10/15 7:09:01 AM,C,20.576
6/10/15 7:19:01 AM,C,20.514
6/10/15 7:29:01 AM,C,20.514
6/10/15 7:39:01 AM,C,20.451
6/10/15 7:49:01 AM,C,20.451
6/10/15 7:59:01 AM,C,20.451
6/10/15 8:09:01 AM,C,20.389
6/10/15 8:19:01 AM,C,20.389
6/10/15 8:29:01 AM,C,20.576
6/10/15 8:39:01 AM,C,20.576
6/10/15 8:49:01 AM,C,20.576
6/10/15 8:59:01 AM,C,20.576
6/10/15 9:09:01 AM,C,20.639
6/10/15 9:19:01 AM,C,20.514
6/10/15 9:29:01 AM,C,20.451
6/10/15 9:39:01 AM,C,20.576
6/10/15 9:49:01 AM,C,20.389
6/10/15 9:59:01 AM,C,20.389
6/10/15 10:09:01 AM,C,20.451
6/10/15 10:19:01 AM,C,20.514
6/10/15 10:29:01 AM,C,20.514
6/10/15 10:39:01 AM,C,20.514
6/10/15 10:49:01 AM,C,20.702
6/10/15 10:59:01 AM,C,20.702
6/10/15 11:09:01 AM,C,20.702
6/10/15 11:19:01 AM,C,20.764
6/10/15 11:29:01 AM,C,21.014
6/10/15 11:39:01 AM,C,21.014
6/10/15 11:49:01 AM,C,20.952
6/10/15 11:59:01 AM,C,21.014
6/10/15 12:09:01 PM,C,21.265
6/10/15 12:19:01 PM,C,21.202
6/10/15 12:29:01 PM,C,21.202
6/10/15 12:39:01 PM,C,21.265
6/10/15 12:49:01 PM,C,21.515
6/10/15 12:59:01 PM,C,21.64
6/10/15 1:09:01 PM,C,21.891
6/10/15 1:19:01 PM,C,21.953
6/10/15 1:29:01 PM,C,22.016
6/10/15 1:39:01 PM,C,22.141
6/10/15 1:49:01 PM,C,22.329
6/10/15 1:59:01 PM,C,22.266
6/10/15 2:09:01 PM,C,22.266
6/10/15 2:19:01 PM,C,22.203
6/10/15 2:29:01 PM,C,22.391
6/10/15 2:39:01 PM,C,22.391
6/10/15 2:49:01 PM,C,22.516
6/10/15 2:59:01 PM,C,22.704
6/10/15 3:09:01 PM,C,22.516
6/10/15 3:19:01 PM,C,22.579
6/10/15 3:29:01 PM,C,22.579
6/10/15 3:39:01 PM,C,22.641
6/10/15 3:49:01 PM,C,22.641
6/10/15 3:59:01 PM,C,22.704
6/10/15 4:09:01 PM,C,22.704
6/10/15 4:19:01 PM,C,22.766
6/10/15 4:29:01 PM,C,22.704
6/10/15 4:39:01 PM,C,22.078
6/10/15 4:49:01 PM,C,23.392
6/10/15 4:59:01 PM,C,22.766
6/10/15 5:09:01 PM,C,22.579
6/10/15 5:19:01 PM,C,22.516
6/10/15 5:29:01 PM,C,22.579
6/10/15 5:39:01 PM,C,22.516
6/10/15 5:49:01 PM,C,22.454
6/10/15 5:59:01 PM,C,22.454
6/10/15 6:09:01 PM,C,22.329
6/10/15 6:19:01 PM,C,22.266
6/10/15 6:29:01 PM,C,22.203
6/10/15 6:39:01 PM,C,22.141
6/10/15 6:49:01 PM,C,22.078
6/10/15 6:59:01 PM,C,22.078
6/10/15 7:09:01 PM,C,22.016
6/10/15 7:19:01 PM,C,22.016
6/10/15 7:29:01 PM,C,21.953
6/10/15 7:39:01 PM,C,21.953
6/10/15 7:49:01 PM,C,21.891
6/10/15 7:59:01 PM,C,21.891
6/10/15 8:09:01 PM,C,21.828
6/10/15 8:19:01 PM,C,21.828
6/10/15 8:29:01 PM,C,21.765
6/10/15 8:39:01 PM,C,21.765
6/10/15 8:49:01 PM,C,21.703
6/10/15 8:59:01 PM,C,21.703
6/10/15 9:09:01 PM,C,21.64
6/10/15 9:19:01 PM,C,21.578
6/10/15 9:29:01 PM,C,21.578
6/10/15 9:39:01 PM,C,21.515
6/10/15 9:49:01 PM,C,21.515
6/10/15 9:59:01 PM,C,21.515
6/10/15 10:09:01 PM,C,21.453
6/10/15 10:19:01 PM,C,21.39
6/10/15 10:29:01 PM,C,21.39
6/10/15 10:39:01 PM,C,21.39
6/10/15 10:49:01 PM,C,21.327
6/10/15 10:59:01 PM,C,21.265
6/10/15 11:09:01 PM,C,21.265
6/10/15 11:19:01 PM,C,21.202
6/10/15 11:29:01 PM,C,21.202
6/10/15 11:39:01 PM,C,21.14
6/10/15 11:49:01 PM,C,21.14
6/10/15 11:59:01 PM,C,21.14
6/11/15 12:09:01 AM,C,21.077
6/11/15 12:19:01 AM,C,21.077
6/11/15 12:29:01 AM,C,21.014
6/11/15 12:39:01 AM,C,21.014
6/11/15 12:49:01 AM,C,20.952
6/11/15 12:59:01 AM,C,20.952
6/11/15 1:09:01 AM,C,20.889
6/11/15 1:19:01 AM,C,20.889
6/11/15 1:29:01 AM,C,20.889
6/11/15 1:39:01 AM,C,20.827
6/11/15 1:49:01 AM,C,20.827
6/11/15 1:59:01 AM,C,20.764
6/11/15 2:09:01 AM,C,20.764
6/11/15 2:19:01 AM,C,20.764
6/11/15 2:29:01 AM,C,20.702
6/11/15 2:39:01 AM,C,20.702
6/11/15 2:49:01 AM,C,20.639
6/11/15 2:59:01 AM,C,20.639
6/11/15 3:09:01 AM,C,20.576
6/11/15 3:19:01 AM,C,20.576
6/11/15 3:29:01 AM,C,20.514
6/11/15 3:39:01 AM,C,20.514
6/11/15 3:49:01 AM,C,20.514
6/11/15 3:59:01 AM,C,20.451
6/11/15 4:09:01 AM,C,20.451
6/11/15 4:19:01 AM,C,20.389
6/11/15 4:29:01 AM,C,20.389
6/11/15 4:39:01 AM,C,20.326
6/11/15 4:49:01 AM,C,20.326
6/11/15 4:59:01 AM,C,20.263
6/11/15 5:09:01 AM,C,20.263
6/11/15 5:19:01 AM,C,20.201
6/11/15 5:29:01 AM,C,20.201
6/11/15 5:39:01 AM,C,20.201
6/11/15 5:49:01 AM,C,20.138
6/11/15 5:59:01 AM,C,20.076
6/11/15 6:09:01 AM,C,20.076
6/11/15 6:19:01 AM,C,20.013
