1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: C4000000347FBC41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Tue Jun 09 23:17:01 PDT 2015
Mission Sample Count:  1134
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Tue Jun 09 23:17:01 PDT 2015
Total Mission Samples:  1134
Total Device Samples:  10005
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/9/15 11:17:01 PM,C,28.191
6/9/15 11:27:01 PM,C,25.066
6/9/15 11:37:01 PM,C,26.691
6/9/15 11:47:01 PM,C,25.441
6/9/15 11:57:01 PM,C,24.941
6/10/15 12:07:01 AM,C,24.566
6/10/15 12:17:01 AM,C,24.254
6/10/15 12:27:01 AM,C,24.004
6/10/15 12:37:01 AM,C,23.753
6/10/15 12:47:01 AM,C,23.566
6/10/15 12:57:01 AM,C,23.441
6/10/15 1:07:01 AM,C,23.253
6/10/15 1:17:01 AM,C,23.128
6/10/15 1:27:01 AM,C,23.003
6/10/15 1:37:01 AM,C,22.815
6/10/15 1:47:01 AM,C,22.69
6/10/15 1:57:01 AM,C,22.565
6/10/15 2:07:01 AM,C,22.378
6/10/15 2:17:01 AM,C,22.252
6/10/15 2:27:01 AM,C,22.127
6/10/15 2:37:01 AM,C,22.002
6/10/15 2:47:01 AM,C,21.877
6/10/15 2:57:01 AM,C,21.752
6/10/15 3:07:01 AM,C,21.689
6/10/15 3:17:01 AM,C,21.564
6/10/15 3:27:01 AM,C,21.502
6/10/15 3:37:01 AM,C,21.377
6/10/15 3:47:01 AM,C,21.314
6/10/15 3:57:01 AM,C,21.189
6/10/15 4:07:01 AM,C,21.126
6/10/15 4:17:01 AM,C,21.064
6/10/15 4:27:01 AM,C,21.001
6/10/15 4:37:01 AM,C,20.938
6/10/15 4:47:01 AM,C,20.876
6/10/15 4:57:01 AM,C,20.813
6/10/15 5:07:01 AM,C,20.751
6/10/15 5:17:01 AM,C,20.688
6/10/15 5:27:01 AM,C,20.688
6/10/15 5:37:01 AM,C,21.001
6/10/15 5:47:01 AM,C,20.626
6/10/15 5:57:01 AM,C,20.626
6/10/15 6:07:01 AM,C,19.812
6/10/15 6:17:01 AM,C,18.935
6/10/15 6:27:01 AM,C,20.563
6/10/15 6:37:01 AM,C,20.563
6/10/15 6:47:01 AM,C,20.563
6/10/15 6:57:01 AM,C,20.563
6/10/15 7:07:01 AM,C,20.5
6/10/15 7:17:01 AM,C,20.438
6/10/15 7:27:01 AM,C,20.438
6/10/15 7:37:01 AM,C,20.375
6/10/15 7:47:01 AM,C,20.438
6/10/15 7:57:01 AM,C,20.375
6/10/15 8:07:01 AM,C,20.438
6/10/15 8:17:01 AM,C,20.438
6/10/15 8:27:01 AM,C,20.563
6/10/15 8:37:01 AM,C,20.563
6/10/15 8:47:01 AM,C,20.626
6/10/15 8:57:01 AM,C,20.563
6/10/15 9:07:01 AM,C,20.626
6/10/15 9:17:01 AM,C,20.626
6/10/15 9:27:01 AM,C,20.688
6/10/15 9:37:01 AM,C,20.688
6/10/15 9:47:01 AM,C,20.626
6/10/15 9:57:01 AM,C,20.626
6/10/15 10:07:01 AM,C,20.813
6/10/15 10:17:01 AM,C,20.876
6/10/15 10:27:01 AM,C,20.938
6/10/15 10:37:01 AM,C,20.813
6/10/15 10:47:01 AM,C,21.001
6/10/15 10:57:01 AM,C,21.064
6/10/15 11:07:01 AM,C,21.126
6/10/15 11:17:01 AM,C,21.251
6/10/15 11:27:01 AM,C,21.251
6/10/15 11:37:01 AM,C,21.189
6/10/15 11:47:01 AM,C,21.126
6/10/15 11:57:01 AM,C,21.877
6/10/15 12:07:01 PM,C,21.94
6/10/15 12:17:01 PM,C,21.251
6/10/15 12:27:01 PM,C,21.377
6/10/15 12:37:01 PM,C,21.564
6/10/15 12:47:01 PM,C,21.627
6/10/15 12:57:01 PM,C,21.94
6/10/15 1:07:01 PM,C,22.002
6/10/15 1:17:01 PM,C,21.94
6/10/15 1:27:01 PM,C,22.065
6/10/15 1:37:01 PM,C,21.94
6/10/15 1:47:01 PM,C,22.127
6/10/15 1:57:01 PM,C,22.19
6/10/15 2:07:01 PM,C,22.252
6/10/15 2:17:01 PM,C,22.44
6/10/15 2:27:01 PM,C,22.378
6/10/15 2:37:01 PM,C,22.44
6/10/15 2:47:01 PM,C,22.753
6/10/15 2:57:01 PM,C,22.628
6/10/15 3:07:01 PM,C,22.753
6/10/15 3:17:01 PM,C,22.69
6/10/15 3:27:01 PM,C,22.753
6/10/15 3:37:01 PM,C,22.878
6/10/15 3:47:01 PM,C,22.878
6/10/15 3:57:01 PM,C,22.878
6/10/15 4:07:01 PM,C,22.878
6/10/15 4:17:01 PM,C,22.94
6/10/15 4:27:01 PM,C,22.753
6/10/15 4:37:01 PM,C,22.815
6/10/15 4:47:01 PM,C,22.878
6/10/15 4:57:01 PM,C,22.815
6/10/15 5:07:01 PM,C,22.878
6/10/15 5:17:01 PM,C,22.878
6/10/15 5:27:01 PM,C,22.753
6/10/15 5:37:01 PM,C,22.565
6/10/15 5:47:01 PM,C,22.378
6/10/15 5:57:01 PM,C,22.315
6/10/15 6:07:01 PM,C,22.252
6/10/15 6:17:01 PM,C,22.252
6/10/15 6:27:01 PM,C,22.19
6/10/15 6:37:01 PM,C,22.19
6/10/15 6:47:01 PM,C,22.127
6/10/15 6:57:01 PM,C,22.065
6/10/15 7:07:01 PM,C,22.065
6/10/15 7:17:01 PM,C,22.002
6/10/15 7:27:01 PM,C,22.002
6/10/15 7:37:01 PM,C,21.94
6/10/15 7:47:01 PM,C,21.94
6/10/15 7:57:01 PM,C,21.877
