1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: FE00000034840941
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Tue Jun 09 22:59:01 PDT 2015
Mission Sample Count:  1135
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Tue Jun 09 22:59:01 PDT 2015
Total Mission Samples:  1135
Total Device Samples:  9702
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/9/15 10:59:01 PM,C,26.262
6/9/15 11:09:01 PM,C,25.949
6/9/15 11:19:01 PM,C,25.887
6/9/15 11:29:01 PM,C,26.887
6/9/15 11:39:01 PM,C,26.012
6/9/15 11:49:01 PM,C,24.637
6/9/15 11:59:01 PM,C,24.137
6/10/15 12:09:01 AM,C,23.887
6/10/15 12:19:01 AM,C,23.824
6/10/15 12:29:01 AM,C,23.699
6/10/15 12:39:01 AM,C,23.574
6/10/15 12:49:01 AM,C,23.511
6/10/15 12:59:01 AM,C,23.386
6/10/15 1:09:01 AM,C,23.324
6/10/15 1:19:01 AM,C,23.199
6/10/15 1:29:01 AM,C,23.074
6/10/15 1:39:01 AM,C,22.949
6/10/15 1:49:01 AM,C,22.824
6/10/15 1:59:01 AM,C,22.699
6/10/15 2:09:01 AM,C,22.574
6/10/15 2:19:01 AM,C,22.448
6/10/15 2:29:01 AM,C,22.323
6/10/15 2:39:01 AM,C,22.198
6/10/15 2:49:01 AM,C,22.073
6/10/15 2:59:01 AM,C,22.011
6/10/15 3:09:01 AM,C,21.886
6/10/15 3:19:01 AM,C,21.761
6/10/15 3:29:01 AM,C,21.698
6/10/15 3:39:01 AM,C,21.573
6/10/15 3:49:01 AM,C,21.51
6/10/15 3:59:01 AM,C,21.385
6/10/15 4:09:01 AM,C,21.323
6/10/15 4:19:01 AM,C,21.26
6/10/15 4:29:01 AM,C,21.198
6/10/15 4:39:01 AM,C,21.135
6/10/15 4:49:01 AM,C,21.01
6/10/15 4:59:01 AM,C,20.948
6/10/15 5:09:01 AM,C,20.885
6/10/15 5:19:01 AM,C,20.823
6/10/15 5:29:01 AM,C,20.823
6/10/15 5:39:01 AM,C,20.51
6/10/15 5:49:01 AM,C,20.385
6/10/15 5:59:01 AM,C,21.01
6/10/15 6:09:01 AM,C,20.635
6/10/15 6:19:01 AM,C,20.197
6/10/15 6:29:01 AM,C,20.697
6/10/15 6:39:01 AM,C,20.697
6/10/15 6:49:01 AM,C,20.635
6/10/15 6:59:01 AM,C,20.635
6/10/15 7:09:01 AM,C,20.572
6/10/15 7:19:01 AM,C,20.572
6/10/15 7:29:01 AM,C,20.572
6/10/15 7:39:01 AM,C,20.51
6/10/15 7:49:01 AM,C,20.51
6/10/15 7:59:01 AM,C,20.51
6/10/15 8:09:01 AM,C,20.51
6/10/15 8:19:01 AM,C,20.572
6/10/15 8:29:01 AM,C,20.572
6/10/15 8:39:01 AM,C,20.572
6/10/15 8:49:01 AM,C,20.51
6/10/15 8:59:01 AM,C,20.572
6/10/15 9:09:01 AM,C,20.572
6/10/15 9:19:01 AM,C,20.572
6/10/15 9:29:01 AM,C,20.572
6/10/15 9:39:01 AM,C,20.697
6/10/15 9:49:01 AM,C,20.697
6/10/15 9:59:01 AM,C,20.697
6/10/15 10:09:01 AM,C,20.885
6/10/15 10:19:01 AM,C,21.135
6/10/15 10:29:01 AM,C,21.01
6/10/15 10:39:01 AM,C,20.635
6/10/15 10:49:01 AM,C,21.01
6/10/15 10:59:01 AM,C,21.573
6/10/15 11:09:01 AM,C,21.823
6/10/15 11:19:01 AM,C,21.636
6/10/15 11:29:01 AM,C,21.761
6/10/15 11:39:01 AM,C,21.823
6/10/15 11:49:01 AM,C,21.51
6/10/15 11:59:01 AM,C,21.886
6/10/15 12:09:01 PM,C,22.198
6/10/15 12:19:01 PM,C,21.823
6/10/15 12:29:01 PM,C,22.198
6/10/15 12:39:01 PM,C,22.511
6/10/15 12:49:01 PM,C,22.824
6/10/15 12:59:01 PM,C,23.199
6/10/15 1:09:01 PM,C,23.136
6/10/15 1:19:01 PM,C,23.011
6/10/15 1:29:01 PM,C,23.136
6/10/15 1:39:01 PM,C,23.324
6/10/15 1:49:01 PM,C,23.511
6/10/15 1:59:01 PM,C,23.636
6/10/15 2:09:01 PM,C,23.636
6/10/15 2:19:01 PM,C,23.574
6/10/15 2:29:01 PM,C,23.699
6/10/15 2:39:01 PM,C,23.761
6/10/15 2:49:01 PM,C,23.949
6/10/15 2:59:01 PM,C,24.012
6/10/15 3:09:01 PM,C,24.012
6/10/15 3:19:01 PM,C,24.012
6/10/15 3:29:01 PM,C,24.012
6/10/15 3:39:01 PM,C,24.012
6/10/15 3:49:01 PM,C,24.012
6/10/15 3:59:01 PM,C,24.012
6/10/15 4:09:01 PM,C,24.012
6/10/15 4:19:01 PM,C,24.074
6/10/15 4:29:01 PM,C,24.074
6/10/15 4:39:01 PM,C,24.137
6/10/15 4:49:01 PM,C,24.074
6/10/15 4:59:01 PM,C,24.074
6/10/15 5:09:01 PM,C,24.012
6/10/15 5:19:01 PM,C,23.824
6/10/15 5:29:01 PM,C,23.761
6/10/15 5:39:01 PM,C,23.636
6/10/15 5:49:01 PM,C,22.949
6/10/15 5:59:01 PM,C,22.448
6/10/15 6:09:01 PM,C,22.386
6/10/15 6:19:01 PM,C,22.323
6/10/15 6:29:01 PM,C,22.261
6/10/15 6:39:01 PM,C,22.261
6/10/15 6:49:01 PM,C,22.136
6/10/15 6:59:01 PM,C,22.073
6/10/15 7:09:01 PM,C,22.073
6/10/15 7:19:01 PM,C,22.011
6/10/15 7:29:01 PM,C,22.011
6/10/15 7:39:01 PM,C,21.948
6/10/15 7:49:01 PM,C,21.948
6/10/15 7:59:01 PM,C,21.886
6/10/15 8:09:01 PM,C,21.886
6/10/15 8:19:01 PM,C,21.823
6/10/15 8:29:01 PM,C,21.761
6/10/15 8:39:01 PM,C,21.761
6/10/15 8:49:01 PM,C,21.698
6/10/15 8:59:01 PM,C,21.698
6/10/15 9:09:01 PM,C,21.636
6/10/15 9:19:01 PM,C,21.636
6/10/15 9:29:01 PM,C,21.573
6/10/15 9:39:01 PM,C,21.573
6/10/15 9:49:01 PM,C,21.51
6/10/15 9:59:01 PM,C,21.51
6/10/15 10:09:01 PM,C,21.448
6/10/15 10:19:01 PM,C,21.448
6/10/15 10:29:01 PM,C,21.385
6/10/15 10:39:01 PM,C,21.385
6/10/15 10:49:01 PM,C,21.323
6/10/15 10:59:01 PM,C,21.323
6/10/15 11:09:01 PM,C,21.26
6/10/15 11:19:01 PM,C,21.26
6/10/15 11:29:01 PM,C,21.198
6/10/15 11:39:01 PM,C,21.198
6/10/15 11:49:01 PM,C,21.135
6/10/15 11:59:01 PM,C,21.135
6/11/15 12:09:01 AM,C,21.073
6/11/15 12:19:01 AM,C,21.073
6/11/15 12:29:01 AM,C,21.01
6/11/15 12:39:01 AM,C,21.01
6/11/15 12:49:01 AM,C,20.948
6/11/15 12:59:01 AM,C,20.948
6/11/15 1:09:01 AM,C,20.948
6/11/15 1:19:01 AM,C,20.885
6/11/15 1:29:01 AM,C,20.885
6/11/15 1:39:01 AM,C,20.823
6/11/15 1:49:01 AM,C,20.823
6/11/15 1:59:01 AM,C,20.76
6/11/15 2:09:01 AM,C,20.76
6/11/15 2:19:01 AM,C,20.76
6/11/15 2:29:01 AM,C,20.697
6/11/15 2:39:01 AM,C,20.697
6/11/15 2:49:01 AM,C,20.635
6/11/15 2:59:01 AM,C,20.635
6/11/15 3:09:01 AM,C,20.635
6/11/15 3:19:01 AM,C,20.572
6/11/15 3:29:01 AM,C,20.572
6/11/15 3:39:01 AM,C,20.51
6/11/15 3:49:01 AM,C,20.51
6/11/15 3:59:01 AM,C,20.447
6/11/15 4:09:01 AM,C,20.447
6/11/15 4:19:01 AM,C,20.385
