1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: F800000034871741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Tue Jun 09 07:14:01 PDT 2015
Mission Sample Count:  1230
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Tue Jun 09 07:14:01 PDT 2015
Total Mission Samples:  1230
Total Device Samples:  11420
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/9/15 7:14:01 AM,C,20.459
6/9/15 7:24:01 AM,C,20.834
6/9/15 7:34:01 AM,C,19.834
6/9/15 7:44:01 AM,C,19.146
6/9/15 7:54:01 AM,C,18.77
6/9/15 8:04:01 AM,C,18.77
6/9/15 8:14:01 AM,C,18.708
6/9/15 8:24:01 AM,C,21.335
6/9/15 8:34:01 AM,C,23.211
6/9/15 8:44:01 AM,C,23.961
6/9/15 8:54:01 AM,C,22.148
6/9/15 9:04:01 AM,C,26.336
6/9/15 9:14:01 AM,C,36.639
6/9/15 9:24:01 AM,C,22.835
6/9/15 9:34:01 AM,C,22.21
6/9/15 9:44:01 AM,C,22.585
6/9/15 9:54:01 AM,C,23.023
6/9/15 10:04:01 AM,C,22.835
6/9/15 10:14:01 AM,C,22.835
6/9/15 10:24:01 AM,C,23.273
6/9/15 10:34:01 AM,C,23.336
6/9/15 10:44:01 AM,C,23.461
6/9/15 10:54:01 AM,C,22.71
6/9/15 11:04:01 AM,C,23.023
6/9/15 11:14:01 AM,C,23.898
6/9/15 11:24:01 AM,C,23.836
6/9/15 11:34:01 AM,C,22.898
6/9/15 11:44:01 AM,C,23.148
6/9/15 11:54:01 AM,C,23.023
6/9/15 12:04:01 PM,C,22.523
6/9/15 12:14:01 PM,C,22.773
6/9/15 12:24:01 PM,C,26.586
6/9/15 12:34:01 PM,C,42.315
6/9/15 12:44:01 PM,C,49.606
6/9/15 12:54:01 PM,C,53.28
6/9/15 1:04:01 PM,C,53.591
6/9/15 1:14:01 PM,C,55.396
6/9/15 1:24:01 PM,C,55.645
6/9/15 1:34:01 PM,C,56.019
6/9/15 1:44:01 PM,C,55.085
6/9/15 1:54:01 PM,C,52.16
6/9/15 2:04:01 PM,C,35.329
6/9/15 2:14:01 PM,C,27.273
6/9/15 2:24:01 PM,C,22.898
