1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 560000003486FA41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Tue Jun 09 23:04:01 PDT 2015
Mission Sample Count:  1134
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Tue Jun 09 23:04:01 PDT 2015
Total Mission Samples:  1134
Total Device Samples:  5040
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/9/15 11:04:01 PM,C,27.267
6/9/15 11:14:01 PM,C,24.768
6/9/15 11:24:01 PM,C,24.83
6/9/15 11:34:01 PM,C,27.33
6/9/15 11:44:01 PM,C,25.705
6/9/15 11:54:01 PM,C,24.705
6/10/15 12:04:01 AM,C,24.267
6/10/15 12:14:01 AM,C,24.017
6/10/15 12:24:01 AM,C,23.83
6/10/15 12:34:01 AM,C,23.642
6/10/15 12:44:01 AM,C,23.517
6/10/15 12:54:01 AM,C,23.392
6/10/15 1:04:01 AM,C,23.267
6/10/15 1:14:01 AM,C,23.142
6/10/15 1:24:01 AM,C,23.017
6/10/15 1:34:01 AM,C,22.892
6/10/15 1:44:01 AM,C,22.767
6/10/15 1:54:01 AM,C,22.642
6/10/15 2:04:01 AM,C,22.517
6/10/15 2:14:01 AM,C,22.392
6/10/15 2:24:01 AM,C,22.266
6/10/15 2:34:01 AM,C,22.141
6/10/15 2:44:01 AM,C,22.016
6/10/15 2:54:01 AM,C,21.891
6/10/15 3:04:01 AM,C,21.766
6/10/15 3:14:01 AM,C,21.703
6/10/15 3:24:01 AM,C,21.578
6/10/15 3:34:01 AM,C,21.516
6/10/15 3:44:01 AM,C,21.391
6/10/15 3:54:01 AM,C,21.328
6/10/15 4:04:01 AM,C,21.266
6/10/15 4:14:01 AM,C,21.203
6/10/15 4:24:01 AM,C,21.078
6/10/15 4:34:01 AM,C,21.015
6/10/15 4:44:01 AM,C,20.953
6/10/15 4:54:01 AM,C,20.89
6/10/15 5:04:01 AM,C,20.828
6/10/15 5:14:01 AM,C,20.765
6/10/15 5:24:01 AM,C,20.703
6/10/15 5:34:01 AM,C,20.703
6/10/15 5:44:01 AM,C,20.828
6/10/15 5:54:01 AM,C,20.953
6/10/15 6:04:01 AM,C,20.327
6/10/15 6:14:01 AM,C,19.326
6/10/15 6:24:01 AM,C,19.952
6/10/15 6:34:01 AM,C,20.139
6/10/15 6:44:01 AM,C,20.014
