1-Wire/iButton Part Number: DS2422
1-Wire/iButton Registration Number: 54000000347BE441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Tue Jun 09 23:06:01 PDT 2015
Mission Sample Count:  1132
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Tue Jun 09 23:06:01 PDT 2015
Total Mission Samples:  1132
Total Device Samples:  1132
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  8.0 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/9/15 11:06:01 PM,C,24.688
6/9/15 11:16:01 PM,C,24.812
6/9/15 11:26:01 PM,C,26.438
6/9/15 11:36:01 PM,C,25.812
6/9/15 11:46:01 PM,C,23.938
6/9/15 11:56:01 PM,C,23.25
6/10/15 12:06:01 AM,C,22.875
6/10/15 12:16:01 AM,C,22.688
6/10/15 12:26:01 AM,C,22.5
6/10/15 12:36:01 AM,C,22.312
6/10/15 12:46:01 AM,C,22.188
6/10/15 12:56:01 AM,C,22.062
6/10/15 1:06:01 AM,C,21.938
6/10/15 1:16:01 AM,C,21.812
6/10/15 1:26:01 AM,C,21.688
6/10/15 1:36:01 AM,C,21.562
6/10/15 1:46:01 AM,C,21.375
6/10/15 1:56:01 AM,C,21.25
6/10/15 2:06:01 AM,C,21.125
6/10/15 2:16:01 AM,C,21
6/10/15 2:26:01 AM,C,20.875
6/10/15 2:36:01 AM,C,20.75
6/10/15 2:46:01 AM,C,20.625
6/10/15 2:56:01 AM,C,20.562
6/10/15 3:06:01 AM,C,20.438
6/10/15 3:16:01 AM,C,20.375
6/10/15 3:26:01 AM,C,20.25
6/10/15 3:36:01 AM,C,20.125
6/10/15 3:46:01 AM,C,20.062
6/10/15 3:56:01 AM,C,20
6/10/15 4:06:01 AM,C,19.938
6/10/15 4:16:01 AM,C,19.875
6/10/15 4:26:01 AM,C,19.75
6/10/15 4:36:01 AM,C,19.688
6/10/15 4:46:01 AM,C,19.625
6/10/15 4:56:01 AM,C,19.562
6/10/15 5:06:01 AM,C,19.5
6/10/15 5:16:01 AM,C,19.438
6/10/15 5:26:01 AM,C,19.438
6/10/15 5:36:01 AM,C,19.562
6/10/15 5:46:01 AM,C,19.75
6/10/15 5:56:01 AM,C,20.25
6/10/15 6:06:01 AM,C,19.062
6/10/15 6:16:01 AM,C,18.5
6/10/15 6:26:01 AM,C,18.062
6/10/15 6:36:01 AM,C,18
6/10/15 6:46:01 AM,C,18
6/10/15 6:56:01 AM,C,18
6/10/15 7:06:01 AM,C,18
6/10/15 7:16:01 AM,C,18
6/10/15 7:26:01 AM,C,17.938
6/10/15 7:36:01 AM,C,17.938
6/10/15 7:46:01 AM,C,17.875
6/10/15 7:56:01 AM,C,17.938
6/10/15 8:06:01 AM,C,18
6/10/15 8:16:01 AM,C,18.375
6/10/15 8:26:01 AM,C,18.812
6/10/15 8:36:01 AM,C,19.188
6/10/15 8:46:01 AM,C,19.562
6/10/15 8:56:01 AM,C,19.812
6/10/15 9:06:01 AM,C,20.062
6/10/15 9:16:01 AM,C,20.375
6/10/15 9:26:01 AM,C,20.625
6/10/15 9:36:01 AM,C,20.875
6/10/15 9:46:01 AM,C,20.938
6/10/15 9:56:01 AM,C,20.938
6/10/15 10:06:01 AM,C,21.375
6/10/15 10:16:01 AM,C,21.875
6/10/15 10:26:01 AM,C,22.125
6/10/15 10:36:01 AM,C,22.438
6/10/15 10:46:01 AM,C,22.75
6/10/15 10:56:01 AM,C,23.25
6/10/15 11:06:01 AM,C,23.125
6/10/15 11:16:01 AM,C,22.938
6/10/15 11:26:01 AM,C,23.312
6/10/15 11:36:01 AM,C,23.5
6/10/15 11:46:01 AM,C,22.875
6/10/15 11:56:01 AM,C,22.438
6/10/15 12:06:01 PM,C,22.938
6/10/15 12:16:01 PM,C,22.125
6/10/15 12:26:01 PM,C,23.125
6/10/15 12:36:01 PM,C,23.188
6/10/15 12:46:01 PM,C,22.812
6/10/15 12:56:01 PM,C,23.625
6/10/15 1:06:01 PM,C,24.562
6/10/15 1:16:01 PM,C,24.688
6/10/15 1:26:01 PM,C,24.5
6/10/15 1:36:01 PM,C,24.688
6/10/15 1:46:01 PM,C,25.188
6/10/15 1:56:01 PM,C,25.438
6/10/15 2:06:01 PM,C,25.562
6/10/15 2:16:01 PM,C,25.188
6/10/15 2:26:01 PM,C,25.5
6/10/15 2:36:01 PM,C,25.75
6/10/15 2:46:01 PM,C,25.75
6/10/15 2:56:01 PM,C,26.062
6/10/15 3:06:01 PM,C,25.688
6/10/15 3:16:01 PM,C,26
6/10/15 3:26:01 PM,C,26.062
6/10/15 3:36:01 PM,C,25.688
6/10/15 3:46:01 PM,C,25.75
6/10/15 3:56:01 PM,C,25.938
6/10/15 4:06:01 PM,C,25.875
6/10/15 4:16:01 PM,C,24.75
6/10/15 4:26:01 PM,C,24.688
6/10/15 4:36:01 PM,C,24.5
6/10/15 4:46:01 PM,C,24
6/10/15 4:56:01 PM,C,24.25
6/10/15 5:06:01 PM,C,24.438
6/10/15 5:16:01 PM,C,24.438
6/10/15 5:26:01 PM,C,24.188
6/10/15 5:36:01 PM,C,24.125
6/10/15 5:46:01 PM,C,23.562
6/10/15 5:56:01 PM,C,22.75
6/10/15 6:06:01 PM,C,22.375
6/10/15 6:16:01 PM,C,22.125
6/10/15 6:26:01 PM,C,21.75
6/10/15 6:36:01 PM,C,21.625
6/10/15 6:46:01 PM,C,21.875
6/10/15 6:56:01 PM,C,21.875
6/10/15 7:06:01 PM,C,19.438
6/10/15 7:16:01 PM,C,20.812
6/10/15 7:26:01 PM,C,20.75
6/10/15 7:36:01 PM,C,20.688
6/10/15 7:46:01 PM,C,20.688
6/10/15 7:56:01 PM,C,20.625
6/10/15 8:06:01 PM,C,20.562
6/10/15 8:16:01 PM,C,20.562
6/10/15 8:26:01 PM,C,20.5
6/10/15 8:36:01 PM,C,20.5
6/10/15 8:46:01 PM,C,20.438
6/10/15 8:56:01 PM,C,20.375
6/10/15 9:06:01 PM,C,20.375
6/10/15 9:16:01 PM,C,20.312
6/10/15 9:26:01 PM,C,20.312
6/10/15 9:36:01 PM,C,20.25
6/10/15 9:46:01 PM,C,20.188
6/10/15 9:56:01 PM,C,20.188
6/10/15 10:06:01 PM,C,20.125
6/10/15 10:16:01 PM,C,20.125
6/10/15 10:26:01 PM,C,20.062
6/10/15 10:36:01 PM,C,20.062
6/10/15 10:46:01 PM,C,20
6/10/15 10:56:01 PM,C,19.938
6/10/15 11:06:01 PM,C,19.938
6/10/15 11:16:01 PM,C,19.875
6/10/15 11:26:01 PM,C,19.875
6/10/15 11:36:01 PM,C,19.812
6/10/15 11:46:01 PM,C,19.812
6/10/15 11:56:01 PM,C,19.75
6/11/15 12:06:01 AM,C,19.75
6/11/15 12:16:01 AM,C,19.688
6/11/15 12:26:01 AM,C,19.625
6/11/15 12:36:01 AM,C,19.625
6/11/15 12:46:01 AM,C,19.625
6/11/15 12:56:01 AM,C,19.562
6/11/15 1:06:01 AM,C,19.5
6/11/15 1:16:01 AM,C,19.5
6/11/15 1:26:01 AM,C,19.5
6/11/15 1:36:01 AM,C,19.438
6/11/15 1:46:01 AM,C,19.438
6/11/15 1:56:01 AM,C,19.375
6/11/15 2:06:01 AM,C,19.375
6/11/15 2:16:01 AM,C,19.375
6/11/15 2:26:01 AM,C,19.312
6/11/15 2:36:01 AM,C,19.312
6/11/15 2:46:01 AM,C,19.25
6/11/15 2:56:01 AM,C,19.25
6/11/15 3:06:01 AM,C,19.188
6/11/15 3:16:01 AM,C,19.188
6/11/15 3:26:01 AM,C,19.125
6/11/15 3:36:01 AM,C,19.125
6/11/15 3:46:01 AM,C,19.125
6/11/15 3:56:01 AM,C,19.062
6/11/15 4:06:01 AM,C,19.062
6/11/15 4:16:01 AM,C,19
6/11/15 4:26:01 AM,C,19
6/11/15 4:36:01 AM,C,18.938
6/11/15 4:46:01 AM,C,18.938
6/11/15 4:56:01 AM,C,18.875
6/11/15 5:06:01 AM,C,18.812
6/11/15 5:16:01 AM,C,18.812
6/11/15 5:26:01 AM,C,18.75
6/11/15 5:36:01 AM,C,18.75
6/11/15 5:46:01 AM,C,18.688
6/11/15 5:56:01 AM,C,18.688
6/11/15 6:06:01 AM,C,18.625
6/11/15 6:16:01 AM,C,18.625
6/11/15 6:26:01 AM,C,18.625
6/11/15 6:36:01 AM,C,18.562
6/11/15 6:46:01 AM,C,18.562
6/11/15 6:56:01 AM,C,18.5
6/11/15 7:06:01 AM,C,18.5
6/11/15 7:16:01 AM,C,18.5
6/11/15 7:26:01 AM,C,18.438
6/11/15 7:36:01 AM,C,18.438
6/11/15 7:46:01 AM,C,18.438
6/11/15 7:56:01 AM,C,18.438
6/11/15 8:06:01 AM,C,18.5
6/11/15 8:16:01 AM,C,18.5
6/11/15 8:26:01 AM,C,18.688
6/11/15 8:36:01 AM,C,18.75
6/11/15 8:46:01 AM,C,18.812
6/11/15 8:56:01 AM,C,18.938
6/11/15 9:06:01 AM,C,19
6/11/15 9:16:01 AM,C,19.125
6/11/15 9:26:01 AM,C,19.375
6/11/15 9:36:01 AM,C,19.25
6/11/15 9:46:01 AM,C,19.438
6/11/15 9:56:01 AM,C,19.5
6/11/15 10:06:01 AM,C,19.562
6/11/15 10:16:01 AM,C,19.688
6/11/15 10:26:01 AM,C,19.938
6/11/15 10:36:01 AM,C,19.938
6/11/15 10:46:01 AM,C,20.062
6/11/15 10:56:01 AM,C,20.312
6/11/15 11:06:01 AM,C,20.375
6/11/15 11:16:01 AM,C,20.438
6/11/15 11:26:01 AM,C,20.375
6/11/15 11:36:01 AM,C,20.688
6/11/15 11:46:01 AM,C,20.688
6/11/15 11:56:01 AM,C,20.875
6/11/15 12:06:01 PM,C,20.75
6/11/15 12:16:01 PM,C,21.25
6/11/15 12:26:01 PM,C,21.5
6/11/15 12:36:01 PM,C,21.625
6/11/15 12:46:01 PM,C,21.625
6/11/15 12:56:01 PM,C,21.688
6/11/15 1:06:01 PM,C,21.75
6/11/15 1:16:01 PM,C,21.625
6/11/15 1:26:01 PM,C,21.75
6/11/15 1:36:01 PM,C,21.625
6/11/15 1:46:01 PM,C,21.938
6/11/15 1:56:01 PM,C,22
6/11/15 2:06:01 PM,C,22.188
6/11/15 2:16:01 PM,C,22.312
6/11/15 2:26:01 PM,C,22.375
6/11/15 2:36:01 PM,C,22.375
6/11/15 2:46:01 PM,C,22.375
6/11/15 2:56:01 PM,C,22.375
6/11/15 3:06:01 PM,C,22.438
6/11/15 3:16:01 PM,C,22.312
6/11/15 3:26:01 PM,C,22.625
6/11/15 3:36:01 PM,C,22.875
6/11/15 3:46:01 PM,C,23
6/11/15 3:56:01 PM,C,23.188
6/11/15 4:06:01 PM,C,23.188
6/11/15 4:16:01 PM,C,23.188
6/11/15 4:26:01 PM,C,24.375
6/11/15 4:36:01 PM,C,22.5
6/11/15 4:46:01 PM,C,22.812
6/11/15 4:56:01 PM,C,22.75
6/11/15 5:06:01 PM,C,22.875
6/11/15 5:16:01 PM,C,22.812
6/11/15 5:26:01 PM,C,22.938
6/11/15 5:36:01 PM,C,22.562
6/11/15 5:46:01 PM,C,22.25
6/11/15 5:56:01 PM,C,22.062
6/11/15 6:06:01 PM,C,21.938
6/11/15 6:16:01 PM,C,21.875
6/11/15 6:26:01 PM,C,21.812
6/11/15 6:36:01 PM,C,21.75
6/11/15 6:46:01 PM,C,21.688
6/11/15 6:56:01 PM,C,21.625
6/11/15 7:06:01 PM,C,21.562
6/11/15 7:16:01 PM,C,21.5
6/11/15 7:26:01 PM,C,21.5
6/11/15 7:36:01 PM,C,21.438
6/11/15 7:46:01 PM,C,21.375
6/11/15 7:56:01 PM,C,21.312
6/11/15 8:06:01 PM,C,21.25
6/11/15 8:16:01 PM,C,21.188
6/11/15 8:26:01 PM,C,21.125
6/11/15 8:36:01 PM,C,21.062
6/11/15 8:46:01 PM,C,21.062
6/11/15 8:56:01 PM,C,21
6/11/15 9:06:01 PM,C,20.938
6/11/15 9:16:01 PM,C,20.938
6/11/15 9:26:01 PM,C,20.875
6/11/15 9:36:01 PM,C,20.812
6/11/15 9:46:01 PM,C,20.75
6/11/15 9:56:01 PM,C,20.688
6/11/15 10:06:01 PM,C,20.688
6/11/15 10:16:01 PM,C,20.625
6/11/15 10:26:01 PM,C,20.625
6/11/15 10:36:01 PM,C,20.625
6/11/15 10:46:01 PM,C,20.562
6/11/15 10:56:01 PM,C,20.5
6/11/15 11:06:01 PM,C,20.438
6/11/15 11:16:01 PM,C,20.438
6/11/15 11:26:01 PM,C,20.438
6/11/15 11:36:01 PM,C,20.375
6/11/15 11:46:01 PM,C,20.375
6/11/15 11:56:01 PM,C,20.312
6/12/15 12:06:01 AM,C,20.25
6/12/15 12:16:01 AM,C,20.25
6/12/15 12:26:01 AM,C,20.25
6/12/15 12:36:01 AM,C,20.188
6/12/15 12:46:01 AM,C,20.188
6/12/15 12:56:01 AM,C,20.125
6/12/15 1:06:01 AM,C,20.125
6/12/15 1:16:01 AM,C,20.062
6/12/15 1:26:01 AM,C,20.062
6/12/15 1:36:01 AM,C,20
6/12/15 1:46:01 AM,C,20
6/12/15 1:56:01 AM,C,19.938
6/12/15 2:06:01 AM,C,19.938
6/12/15 2:16:01 AM,C,19.938
6/12/15 2:26:01 AM,C,19.938
6/12/15 2:36:01 AM,C,19.875
6/12/15 2:46:01 AM,C,19.875
6/12/15 2:56:01 AM,C,19.812
6/12/15 3:06:01 AM,C,19.75
6/12/15 3:16:01 AM,C,19.75
6/12/15 3:26:01 AM,C,19.75
6/12/15 3:36:01 AM,C,19.75
6/12/15 3:46:01 AM,C,19.688
6/12/15 3:56:01 AM,C,19.688
6/12/15 4:06:01 AM,C,19.625
6/12/15 4:16:01 AM,C,19.625
6/12/15 4:26:01 AM,C,19.562
6/12/15 4:36:01 AM,C,19.562
6/12/15 4:46:01 AM,C,19.562
6/12/15 4:56:01 AM,C,19.5
6/12/15 5:06:01 AM,C,19.5
6/12/15 5:16:01 AM,C,19.438
6/12/15 5:26:01 AM,C,19.438
6/12/15 5:36:01 AM,C,19.375
6/12/15 5:46:01 AM,C,19.312
6/12/15 5:56:01 AM,C,19.312
6/12/15 6:06:01 AM,C,19.312
6/12/15 6:16:01 AM,C,19.25
6/12/15 6:26:01 AM,C,19.25
6/12/15 6:36:01 AM,C,19.188
6/12/15 6:46:01 AM,C,19.188
6/12/15 6:56:01 AM,C,19.188
6/12/15 7:06:01 AM,C,19.125
6/12/15 7:16:01 AM,C,19.125
6/12/15 7:26:01 AM,C,19.062
6/12/15 7:36:01 AM,C,19.062
6/12/15 7:46:01 AM,C,19.062
6/12/15 7:56:01 AM,C,19.125
6/12/15 8:06:01 AM,C,19.125
6/12/15 8:16:01 AM,C,19.312
6/12/15 8:26:01 AM,C,19.5
6/12/15 8:36:01 AM,C,19.812
6/12/15 8:46:01 AM,C,19.688
6/12/15 8:56:01 AM,C,20
6/12/15 9:06:01 AM,C,20.125
6/12/15 9:16:01 AM,C,20.188
6/12/15 9:26:01 AM,C,20.375
6/12/15 9:36:01 AM,C,20.438
6/12/15 9:46:01 AM,C,20.375
6/12/15 9:56:01 AM,C,20.625
6/12/15 10:06:01 AM,C,20.562
6/12/15 10:16:01 AM,C,20.688
6/12/15 10:26:01 AM,C,20.812
6/12/15 10:36:01 AM,C,20.688
6/12/15 10:46:01 AM,C,20.812
6/12/15 10:56:01 AM,C,20.938
6/12/15 11:06:01 AM,C,21
6/12/15 11:16:01 AM,C,21.188
6/12/15 11:26:01 AM,C,21.188
6/12/15 11:36:01 AM,C,21.25
6/12/15 11:46:01 AM,C,21.438
6/12/15 11:56:01 AM,C,21.5
6/12/15 12:06:01 PM,C,21.562
6/12/15 12:16:01 PM,C,21.625
6/12/15 12:26:01 PM,C,21.812
6/12/15 12:36:01 PM,C,21.875
6/12/15 12:46:01 PM,C,21.812
6/12/15 12:56:01 PM,C,22
6/12/15 1:06:01 PM,C,22
6/12/15 1:16:01 PM,C,22.062
6/12/15 1:26:01 PM,C,22.25
6/12/15 1:36:01 PM,C,22.188
6/12/15 1:46:01 PM,C,22.438
6/12/15 1:56:01 PM,C,22.5
6/12/15 2:06:01 PM,C,22.75
6/12/15 2:16:01 PM,C,22.812
6/12/15 2:26:01 PM,C,22.75
6/12/15 2:36:01 PM,C,22.938
6/12/15 2:46:01 PM,C,22.938
6/12/15 2:56:01 PM,C,23
6/12/15 3:06:01 PM,C,23.062
6/12/15 3:16:01 PM,C,23.312
6/12/15 3:26:01 PM,C,23.375
6/12/15 3:36:01 PM,C,23.5
6/12/15 3:46:01 PM,C,23.438
6/12/15 3:56:01 PM,C,23.562
