1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 9E00000034856B41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Tue Jun 09 07:21:01 PDT 2015
Mission Sample Count:  1230
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Tue Jun 09 07:21:01 PDT 2015
Total Mission Samples:  1230
Total Device Samples:  13130
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/9/15 7:21:01 AM,C,20.093
6/9/15 7:31:01 AM,C,19.155
6/9/15 7:41:01 AM,C,19.655
6/9/15 7:51:01 AM,C,18.905
6/9/15 8:01:01 AM,C,18.655
6/9/15 8:11:01 AM,C,18.592
6/9/15 8:21:01 AM,C,18.842
6/9/15 8:31:01 AM,C,21.531
6/9/15 8:41:01 AM,C,22.468
6/9/15 8:51:01 AM,C,21.343
6/9/15 9:01:01 AM,C,21.406
6/9/15 9:11:01 AM,C,24.594
6/9/15 9:21:01 AM,C,28.093
6/9/15 9:31:01 AM,C,30.655
6/9/15 9:41:01 AM,C,32.154
6/9/15 9:51:01 AM,C,33.091
6/9/15 10:01:01 AM,C,34.153
6/9/15 10:11:01 AM,C,34.715
6/9/15 10:21:01 AM,C,36.776
6/9/15 10:31:01 AM,C,39.212
6/9/15 10:41:01 AM,C,40.96
6/9/15 10:51:01 AM,C,40.335
6/9/15 11:01:01 AM,C,37.9
6/9/15 11:11:01 AM,C,39.087
6/9/15 11:21:01 AM,C,42.52
6/9/15 11:31:01 AM,C,44.393
6/9/15 11:41:01 AM,C,44.892
6/9/15 11:51:01 AM,C,45.391
6/9/15 12:01:01 PM,C,45.89
6/9/15 12:11:01 PM,C,44.517
6/9/15 12:21:01 PM,C,44.018
6/9/15 12:31:01 PM,C,37.713
6/9/15 12:41:01 PM,C,36.527
6/9/15 12:51:01 PM,C,38.65
6/9/15 1:01:01 PM,C,35.527
6/9/15 1:11:01 PM,C,41.397
6/9/15 1:21:01 PM,C,44.642
6/9/15 1:31:01 PM,C,43.769
6/9/15 1:41:01 PM,C,43.769
6/9/15 1:51:01 PM,C,41.459
6/9/15 2:01:01 PM,C,39.649
6/9/15 2:11:01 PM,C,40.335
6/9/15 2:21:01 PM,C,40.96
6/9/15 2:31:01 PM,C,39.087
6/9/15 2:41:01 PM,C,39.898
6/9/15 2:51:01 PM,C,42.395
6/9/15 3:01:01 PM,C,41.084
6/9/15 3:11:01 PM,C,45.516
