1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 6A00000034791E41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Tue Jun 09 23:15:01 PDT 2015
Mission Sample Count:  1133
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Tue Jun 09 23:15:01 PDT 2015
Total Mission Samples:  1133
Total Device Samples:  9928
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/9/15 11:15:01 PM,C,27.632
6/9/15 11:25:01 PM,C,25.258
6/9/15 11:35:01 PM,C,26.445
6/9/15 11:45:01 PM,C,24.82
6/9/15 11:55:01 PM,C,24.258
6/10/15 12:05:01 AM,C,23.945
6/10/15 12:15:01 AM,C,23.757
6/10/15 12:25:01 AM,C,23.57
6/10/15 12:35:01 AM,C,23.445
6/10/15 12:45:01 AM,C,23.32
6/10/15 12:55:01 AM,C,23.194
6/10/15 1:05:01 AM,C,23.069
6/10/15 1:15:01 AM,C,22.944
6/10/15 1:25:01 AM,C,22.819
6/10/15 1:35:01 AM,C,22.694
6/10/15 1:45:01 AM,C,22.506
6/10/15 1:55:01 AM,C,22.381
6/10/15 2:05:01 AM,C,22.256
6/10/15 2:15:01 AM,C,22.131
6/10/15 2:25:01 AM,C,21.943
6/10/15 2:35:01 AM,C,21.881
6/10/15 2:45:01 AM,C,21.756
6/10/15 2:55:01 AM,C,21.631
6/10/15 3:05:01 AM,C,21.568
6/10/15 3:15:01 AM,C,21.505
6/10/15 3:25:01 AM,C,21.38
6/10/15 3:35:01 AM,C,21.255
6/10/15 3:45:01 AM,C,21.193
6/10/15 3:55:01 AM,C,21.13
6/10/15 4:05:01 AM,C,21.067
6/10/15 4:15:01 AM,C,20.942
6/10/15 4:25:01 AM,C,20.88
6/10/15 4:35:01 AM,C,20.817
6/10/15 4:45:01 AM,C,20.754
6/10/15 4:55:01 AM,C,20.692
6/10/15 5:05:01 AM,C,20.692
6/10/15 5:15:01 AM,C,20.629
6/10/15 5:25:01 AM,C,20.629
6/10/15 5:35:01 AM,C,20.629
6/10/15 5:45:01 AM,C,21.067
6/10/15 5:55:01 AM,C,22.006
6/10/15 6:05:01 AM,C,20.128
6/10/15 6:15:01 AM,C,20.629
6/10/15 6:25:01 AM,C,20.629
6/10/15 6:35:01 AM,C,20.629
6/10/15 6:45:01 AM,C,20.567
6/10/15 6:55:01 AM,C,20.567
6/10/15 7:05:01 AM,C,20.567
6/10/15 7:15:01 AM,C,20.504
6/10/15 7:25:01 AM,C,20.504
6/10/15 7:35:01 AM,C,20.441
6/10/15 7:45:01 AM,C,20.441
6/10/15 7:55:01 AM,C,20.504
6/10/15 8:05:01 AM,C,20.567
6/10/15 8:15:01 AM,C,20.629
6/10/15 8:25:01 AM,C,20.629
6/10/15 8:35:01 AM,C,20.629
6/10/15 8:45:01 AM,C,20.441
6/10/15 8:55:01 AM,C,20.504
6/10/15 9:05:01 AM,C,20.379
6/10/15 9:15:01 AM,C,20.441
6/10/15 9:25:01 AM,C,20.441
6/10/15 9:35:01 AM,C,20.504
6/10/15 9:45:01 AM,C,20.441
6/10/15 9:55:01 AM,C,20.441
6/10/15 10:05:01 AM,C,20.567
6/10/15 10:15:01 AM,C,20.629
6/10/15 10:25:01 AM,C,20.692
6/10/15 10:35:01 AM,C,20.567
6/10/15 10:45:01 AM,C,20.692
6/10/15 10:55:01 AM,C,20.817
6/10/15 11:05:01 AM,C,20.88
6/10/15 11:15:01 AM,C,21.067
6/10/15 11:25:01 AM,C,21.193
6/10/15 11:35:01 AM,C,21.067
6/10/15 11:45:01 AM,C,21.067
6/10/15 11:55:01 AM,C,21.067
6/10/15 12:05:01 PM,C,21.318
6/10/15 12:15:01 PM,C,21.318
6/10/15 12:25:01 PM,C,21.318
6/10/15 12:35:01 PM,C,21.505
6/10/15 12:45:01 PM,C,21.693
6/10/15 12:55:01 PM,C,21.943
6/10/15 1:05:01 PM,C,21.943
6/10/15 1:15:01 PM,C,21.818
6/10/15 1:25:01 PM,C,21.881
6/10/15 1:35:01 PM,C,22.069
6/10/15 1:45:01 PM,C,22.319
6/10/15 1:55:01 PM,C,22.506
6/10/15 2:05:01 PM,C,22.506
6/10/15 2:15:01 PM,C,22.444
6/10/15 2:25:01 PM,C,22.444
6/10/15 2:35:01 PM,C,22.632
6/10/15 2:45:01 PM,C,22.694
6/10/15 2:55:01 PM,C,22.757
6/10/15 3:05:01 PM,C,22.819
