1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 3700000034805241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Tue Jun 09 07:29:01 PDT 2015
Mission Sample Count:  1226
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Tue Jun 09 07:29:01 PDT 2015
Total Mission Samples:  1226
Total Device Samples:  10081
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/9/15 7:29:01 AM,C,21.67
6/9/15 7:39:01 AM,C,20.482
6/9/15 7:49:01 AM,C,19.168
6/9/15 7:59:01 AM,C,18.855
6/9/15 8:09:01 AM,C,18.729
6/9/15 8:19:01 AM,C,18.792
6/9/15 8:29:01 AM,C,21.107
6/9/15 8:39:01 AM,C,23.359
6/9/15 8:49:01 AM,C,24.359
6/9/15 8:59:01 AM,C,22.921
6/9/15 9:09:01 AM,C,22.358
6/9/15 9:19:01 AM,C,23.234
6/9/15 9:29:01 AM,C,23.859
6/9/15 9:39:01 AM,C,24.359
6/9/15 9:49:01 AM,C,25.484
6/9/15 9:59:01 AM,C,26.734
6/9/15 10:09:01 AM,C,26.422
6/9/15 10:19:01 AM,C,26.359
6/9/15 10:29:01 AM,C,26.547
6/9/15 10:39:01 AM,C,26.922
6/9/15 10:49:01 AM,C,27.297
6/9/15 10:59:01 AM,C,27.671
6/9/15 11:09:01 AM,C,28.296
6/9/15 11:19:01 AM,C,28.983
6/9/15 11:29:01 AM,C,29.608
6/9/15 11:39:01 AM,C,30.107
6/9/15 11:49:01 AM,C,30.357
6/9/15 11:59:01 AM,C,30.732
6/9/15 12:09:01 PM,C,31.294
6/9/15 12:19:01 PM,C,31.731
6/9/15 12:29:01 PM,C,32.48
6/9/15 12:39:01 PM,C,34.165
6/9/15 12:49:01 PM,C,35.475
6/9/15 12:59:01 PM,C,35.599
6/9/15 1:09:01 PM,C,35.786
6/9/15 1:19:01 PM,C,36.036
6/9/15 1:29:01 PM,C,35.225
6/9/15 1:39:01 PM,C,34.476
6/9/15 1:49:01 PM,C,33.478
6/9/15 1:59:01 PM,C,32.917
6/9/15 2:09:01 PM,C,32.979
6/9/15 2:19:01 PM,C,32.917
6/9/15 2:29:01 PM,C,34.102
6/9/15 2:39:01 PM,C,36.597
6/9/15 2:49:01 PM,C,38.592
6/9/15 2:59:01 PM,C,36.784
6/9/15 3:09:01 PM,C,36.909
6/9/15 3:19:01 PM,C,41.77
6/9/15 3:29:01 PM,C,41.397
6/9/15 3:39:01 PM,C,39.153
6/9/15 3:49:01 PM,C,35.287
6/9/15 3:59:01 PM,C,33.166
6/9/15 4:09:01 PM,C,32.355
6/9/15 4:19:01 PM,C,34.352
6/9/15 4:29:01 PM,C,39.901
6/9/15 4:39:01 PM,C,38.031
6/9/15 4:49:01 PM,C,43.078
6/9/15 4:59:01 PM,C,38.218
6/9/15 5:09:01 PM,C,34.227
6/9/15 5:19:01 PM,C,31.731
6/9/15 5:29:01 PM,C,30.42
6/9/15 5:39:01 PM,C,30.482
6/9/15 5:49:01 PM,C,30.045
6/9/15 5:59:01 PM,C,28.484
6/9/15 6:09:01 PM,C,27.609
6/9/15 6:19:01 PM,C,26.672
6/9/15 6:29:01 PM,C,25.984
6/9/15 6:39:01 PM,C,25.234
6/9/15 6:49:01 PM,C,24.922
6/9/15 6:59:01 PM,C,24.547
6/9/15 7:09:01 PM,C,23.984
6/9/15 7:19:01 PM,C,23.797
6/9/15 7:29:01 PM,C,23.734
6/9/15 7:39:01 PM,C,23.421
6/9/15 7:49:01 PM,C,22.859
6/9/15 7:59:01 PM,C,22.233
6/9/15 8:09:01 PM,C,21.42
6/9/15 8:19:01 PM,C,21.858
6/9/15 8:29:01 PM,C,21.232
6/9/15 8:39:01 PM,C,22.483
6/9/15 8:49:01 PM,C,22.608
6/9/15 8:59:01 PM,C,22.608
6/9/15 9:09:01 PM,C,22.483
6/9/15 9:19:01 PM,C,22.796
6/9/15 9:29:01 PM,C,22.734
6/9/15 9:39:01 PM,C,22.421
6/9/15 9:49:01 PM,C,22.233
6/9/15 9:59:01 PM,C,22.358
6/9/15 10:09:01 PM,C,22.546
6/9/15 10:19:01 PM,C,22.734
6/9/15 10:29:01 PM,C,22.796
6/9/15 10:39:01 PM,C,22.671
6/9/15 10:49:01 PM,C,22.921
6/9/15 10:59:01 PM,C,23.609
6/9/15 11:09:01 PM,C,24.484
6/9/15 11:19:01 PM,C,24.484
6/9/15 11:29:01 PM,C,26.234
6/9/15 11:39:01 PM,C,25.797
6/9/15 11:49:01 PM,C,24.359
6/9/15 11:59:01 PM,C,23.922
6/10/15 12:09:01 AM,C,23.797
6/10/15 12:19:01 AM,C,23.671
6/10/15 12:29:01 AM,C,23.609
6/10/15 12:39:01 AM,C,23.484
6/10/15 12:49:01 AM,C,23.421
6/10/15 12:59:01 AM,C,23.296
6/10/15 1:09:01 AM,C,23.234
6/10/15 1:19:01 AM,C,23.109
6/10/15 1:29:01 AM,C,22.984
6/10/15 1:39:01 AM,C,22.859
6/10/15 1:49:01 AM,C,22.734
6/10/15 1:59:01 AM,C,22.608
6/10/15 2:09:01 AM,C,22.483
6/10/15 2:19:01 AM,C,22.358
6/10/15 2:29:01 AM,C,22.233
6/10/15 2:39:01 AM,C,22.108
6/10/15 2:49:01 AM,C,21.983
6/10/15 2:59:01 AM,C,21.858
6/10/15 3:09:01 AM,C,21.795
6/10/15 3:19:01 AM,C,21.67
6/10/15 3:29:01 AM,C,21.608
6/10/15 3:39:01 AM,C,21.483
6/10/15 3:49:01 AM,C,21.42
6/10/15 3:59:01 AM,C,21.295
6/10/15 4:09:01 AM,C,21.232
6/10/15 4:19:01 AM,C,21.17
6/10/15 4:29:01 AM,C,21.107
6/10/15 4:39:01 AM,C,21.045
6/10/15 4:49:01 AM,C,20.92
6/10/15 4:59:01 AM,C,20.857
6/10/15 5:09:01 AM,C,20.857
6/10/15 5:19:01 AM,C,20.794
6/10/15 5:29:01 AM,C,20.794
6/10/15 5:39:01 AM,C,20.607
6/10/15 5:49:01 AM,C,20.732
6/10/15 5:59:01 AM,C,20.732
6/10/15 6:09:01 AM,C,20.544
6/10/15 6:19:01 AM,C,20.544
6/10/15 6:29:01 AM,C,20.544
6/10/15 6:39:01 AM,C,20.544
6/10/15 6:49:01 AM,C,20.544
6/10/15 6:59:01 AM,C,20.544
6/10/15 7:09:01 AM,C,20.482
6/10/15 7:19:01 AM,C,20.482
6/10/15 7:29:01 AM,C,20.419
6/10/15 7:39:01 AM,C,20.419
6/10/15 7:49:01 AM,C,20.544
6/10/15 7:59:01 AM,C,20.669
6/10/15 8:09:01 AM,C,21.107
6/10/15 8:19:01 AM,C,21.42
6/10/15 8:29:01 AM,C,21.42
6/10/15 8:39:01 AM,C,21.483
6/10/15 8:49:01 AM,C,21.42
6/10/15 8:59:01 AM,C,21.483
6/10/15 9:09:01 AM,C,21.67
6/10/15 9:19:01 AM,C,21.357
6/10/15 9:29:01 AM,C,21.357
6/10/15 9:39:01 AM,C,21.608
6/10/15 9:49:01 AM,C,21.357
6/10/15 9:59:01 AM,C,21.357
6/10/15 10:09:01 AM,C,21.67
6/10/15 10:19:01 AM,C,22.108
6/10/15 10:29:01 AM,C,21.858
6/10/15 10:39:01 AM,C,21.858
6/10/15 10:49:01 AM,C,22.233
6/10/15 10:59:01 AM,C,22.046
6/10/15 11:09:01 AM,C,22.233
6/10/15 11:19:01 AM,C,22.546
6/10/15 11:29:01 AM,C,22.296
6/10/15 11:39:01 AM,C,22.108
6/10/15 11:49:01 AM,C,21.795
6/10/15 11:59:01 AM,C,21.545
6/10/15 12:09:01 PM,C,21.92
6/10/15 12:19:01 PM,C,21.795
6/10/15 12:29:01 PM,C,22.171
6/10/15 12:39:01 PM,C,23.046
6/10/15 12:49:01 PM,C,23.421
6/10/15 12:59:01 PM,C,24.172
6/10/15 1:09:01 PM,C,24.047
6/10/15 1:19:01 PM,C,23.922
6/10/15 1:29:01 PM,C,23.984
6/10/15 1:39:01 PM,C,24.234
6/10/15 1:49:01 PM,C,24.422
6/10/15 1:59:01 PM,C,24.484
6/10/15 2:09:01 PM,C,24.609
6/10/15 2:19:01 PM,C,24.547
6/10/15 2:29:01 PM,C,24.484
6/10/15 2:39:01 PM,C,24.484
6/10/15 2:49:01 PM,C,24.609
6/10/15 2:59:01 PM,C,24.734
6/10/15 3:09:01 PM,C,24.609
6/10/15 3:19:01 PM,C,24.547
6/10/15 3:29:01 PM,C,24.484
6/10/15 3:39:01 PM,C,24.422
6/10/15 3:49:01 PM,C,24.422
6/10/15 3:59:01 PM,C,24.359
6/10/15 4:09:01 PM,C,24.234
6/10/15 4:19:01 PM,C,24.234
6/10/15 4:29:01 PM,C,24.234
6/10/15 4:39:01 PM,C,24.109
6/10/15 4:49:01 PM,C,24.047
6/10/15 4:59:01 PM,C,23.984
6/10/15 5:09:01 PM,C,23.734
6/10/15 5:19:01 PM,C,23.609
6/10/15 5:29:01 PM,C,23.421
6/10/15 5:39:01 PM,C,23.234
6/10/15 5:49:01 PM,C,22.796
6/10/15 5:59:01 PM,C,22.546
6/10/15 6:09:01 PM,C,22.358
6/10/15 6:19:01 PM,C,22.296
6/10/15 6:29:01 PM,C,22.233
6/10/15 6:39:01 PM,C,22.171
6/10/15 6:49:01 PM,C,22.108
6/10/15 6:59:01 PM,C,22.046
6/10/15 7:09:01 PM,C,22.046
6/10/15 7:19:01 PM,C,21.983
6/10/15 7:29:01 PM,C,21.92
6/10/15 7:39:01 PM,C,21.92
6/10/15 7:49:01 PM,C,21.858
6/10/15 7:59:01 PM,C,21.858
6/10/15 8:09:01 PM,C,21.795
6/10/15 8:19:01 PM,C,21.733
6/10/15 8:29:01 PM,C,21.67
6/10/15 8:39:01 PM,C,21.67
6/10/15 8:49:01 PM,C,21.608
6/10/15 8:59:01 PM,C,21.545
6/10/15 9:09:01 PM,C,21.545
6/10/15 9:19:01 PM,C,21.483
6/10/15 9:29:01 PM,C,21.483
6/10/15 9:39:01 PM,C,21.42
6/10/15 9:49:01 PM,C,21.42
6/10/15 9:59:01 PM,C,21.357
6/10/15 10:09:01 PM,C,21.357
6/10/15 10:19:01 PM,C,21.295
6/10/15 10:29:01 PM,C,21.295
6/10/15 10:39:01 PM,C,21.232
6/10/15 10:49:01 PM,C,21.232
6/10/15 10:59:01 PM,C,21.17
6/10/15 11:09:01 PM,C,21.107
6/10/15 11:19:01 PM,C,21.107
