1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: AB00000034857941
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Tue Jun 09 07:25:01 PDT 2015
Mission Sample Count:  1227
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Tue Jun 09 07:25:01 PDT 2015
Total Mission Samples:  1227
Total Device Samples:  9986
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/9/15 7:25:01 AM,C,20.53
6/9/15 7:35:01 AM,C,20.217
6/9/15 7:45:01 AM,C,19.591
6/9/15 7:55:01 AM,C,19.09
6/9/15 8:05:01 AM,C,18.903
6/9/15 8:15:01 AM,C,18.84
6/9/15 8:25:01 AM,C,22.595
6/9/15 8:35:01 AM,C,24.783
6/9/15 8:45:01 AM,C,21.594
6/9/15 8:55:01 AM,C,21.093
6/9/15 9:05:01 AM,C,24.096
6/9/15 9:15:01 AM,C,27.095
6/9/15 9:25:01 AM,C,30.154
6/9/15 9:35:01 AM,C,32.15
6/9/15 9:45:01 AM,C,32.773
6/9/15 9:55:01 AM,C,35.453
6/9/15 10:05:01 AM,C,35.515
6/9/15 10:15:01 AM,C,27.532
6/9/15 10:25:01 AM,C,31.277
6/9/15 10:35:01 AM,C,33.833
6/9/15 10:45:01 AM,C,27.595
6/9/15 10:55:01 AM,C,25.533
6/9/15 11:05:01 AM,C,26.283
6/9/15 11:15:01 AM,C,25.346
6/9/15 11:25:01 AM,C,26.908
6/9/15 11:35:01 AM,C,26.095
6/9/15 11:45:01 AM,C,27.47
6/9/15 11:55:01 AM,C,22.22
6/9/15 12:05:01 PM,C,22.22
6/9/15 12:15:01 PM,C,22.47
6/9/15 12:25:01 PM,C,22.595
6/9/15 12:35:01 PM,C,22.282
6/9/15 12:45:01 PM,C,22.282
6/9/15 12:55:01 PM,C,22.47
6/9/15 1:05:01 PM,C,22.47
6/9/15 1:15:01 PM,C,21.594
6/9/15 1:25:01 PM,C,21.657
6/9/15 1:35:01 PM,C,21.657
6/9/15 1:45:01 PM,C,22.157
6/9/15 1:55:01 PM,C,21.156
6/9/15 2:05:01 PM,C,21.594
6/9/15 2:15:01 PM,C,22.47
6/9/15 2:25:01 PM,C,22.908
6/9/15 2:35:01 PM,C,23.783
6/9/15 2:45:01 PM,C,24.158
6/9/15 2:55:01 PM,C,24.721
6/9/15 3:05:01 PM,C,25.783
6/9/15 3:15:01 PM,C,25.721
6/9/15 3:25:01 PM,C,26.533
6/9/15 3:35:01 PM,C,25.783
6/9/15 3:45:01 PM,C,25.283
6/9/15 3:55:01 PM,C,24.471
