1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: B500000034789541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Tue Jun 09 07:09:01 PDT 2015
Mission Sample Count:  1228
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Tue Jun 09 07:09:01 PDT 2015
Total Mission Samples:  1228
Total Device Samples:  16672
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/9/15 7:09:01 AM,C,20.407
6/9/15 7:19:01 AM,C,18.344
6/9/15 7:29:01 AM,C,17.968
6/9/15 7:39:01 AM,C,19.157
6/9/15 7:49:01 AM,C,18.344
6/9/15 7:59:01 AM,C,18.406
6/9/15 8:09:01 AM,C,18.531
6/9/15 8:19:01 AM,C,18.907
6/9/15 8:29:01 AM,C,21.283
6/9/15 8:39:01 AM,C,21.595
6/9/15 8:49:01 AM,C,21.158
6/9/15 8:59:01 AM,C,21.783
6/9/15 9:09:01 AM,C,38.712
6/9/15 9:19:01 AM,C,21.22
6/9/15 9:29:01 AM,C,21.345
6/9/15 9:39:01 AM,C,20.97
6/9/15 9:49:01 AM,C,21.595
6/9/15 9:59:01 AM,C,21.72
6/9/15 10:09:01 AM,C,21.72
6/9/15 10:19:01 AM,C,21.845
6/9/15 10:29:01 AM,C,21.97
6/9/15 10:39:01 AM,C,22.095
6/9/15 10:49:01 AM,C,21.658
6/9/15 10:59:01 AM,C,21.408
6/9/15 11:09:01 AM,C,21.658
6/9/15 11:19:01 AM,C,22.408
6/9/15 11:29:01 AM,C,22.47
6/9/15 11:39:01 AM,C,22.533
6/9/15 11:49:01 AM,C,22.533
6/9/15 11:59:01 AM,C,22.283
6/9/15 12:09:01 PM,C,22.22
6/9/15 12:19:01 PM,C,23.908
6/9/15 12:29:01 PM,C,37.588
6/9/15 12:39:01 PM,C,49.504
6/9/15 12:49:01 PM,C,53.744
6/9/15 12:59:01 PM,C,51.375
6/9/15 1:09:01 PM,C,54.055
6/9/15 1:19:01 PM,C,56.424
6/9/15 1:29:01 PM,C,55.676
6/9/15 1:39:01 PM,C,56.797
6/9/15 1:49:01 PM,C,52.933
6/9/15 1:59:01 PM,C,46.137
6/9/15 2:09:01 PM,C,24.033
6/9/15 2:19:01 PM,C,22.408
6/9/15 2:29:01 PM,C,22.408
6/9/15 2:39:01 PM,C,22.408
6/9/15 2:49:01 PM,C,22.47
