1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 430000003485EA41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Tue Jun 09 23:21:01 PDT 2015
Mission Sample Count:  1131
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Tue Jun 09 23:21:01 PDT 2015
Total Mission Samples:  1131
Total Device Samples:  1916
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/9/15 11:21:01 PM,C,29.405
6/9/15 11:31:01 PM,C,24.406
6/9/15 11:41:01 PM,C,26.094
6/9/15 11:51:01 PM,C,25.094
6/10/15 12:01:01 AM,C,24.594
6/10/15 12:11:01 AM,C,24.281
6/10/15 12:21:01 AM,C,24.031
6/10/15 12:31:01 AM,C,23.844
6/10/15 12:41:01 AM,C,23.594
6/10/15 12:51:01 AM,C,23.468
6/10/15 1:01:01 AM,C,23.281
6/10/15 1:11:01 AM,C,23.156
6/10/15 1:21:01 AM,C,23.031
6/10/15 1:31:01 AM,C,22.843
6/10/15 1:41:01 AM,C,22.718
6/10/15 1:51:01 AM,C,22.593
6/10/15 2:01:01 AM,C,22.468
6/10/15 2:11:01 AM,C,22.28
6/10/15 2:21:01 AM,C,22.155
6/10/15 2:31:01 AM,C,22.03
6/10/15 2:41:01 AM,C,21.905
6/10/15 2:51:01 AM,C,21.78
6/10/15 3:01:01 AM,C,21.718
6/10/15 3:11:01 AM,C,21.593
6/10/15 3:21:01 AM,C,21.53
6/10/15 3:31:01 AM,C,21.405
6/10/15 3:41:01 AM,C,21.28
6/10/15 3:51:01 AM,C,21.217
6/10/15 4:01:01 AM,C,21.155
6/10/15 4:11:01 AM,C,21.092
6/10/15 4:21:01 AM,C,21.03
6/10/15 4:31:01 AM,C,20.967
6/10/15 4:41:01 AM,C,20.842
6/10/15 4:51:01 AM,C,20.78
6/10/15 5:01:01 AM,C,20.717
6/10/15 5:11:01 AM,C,20.654
6/10/15 5:21:01 AM,C,20.592
6/10/15 5:31:01 AM,C,20.592
6/10/15 5:41:01 AM,C,21.092
6/10/15 5:51:01 AM,C,20.717
6/10/15 6:01:01 AM,C,20.654
6/10/15 6:11:01 AM,C,20.592
6/10/15 6:21:01 AM,C,20.592
6/10/15 6:31:01 AM,C,20.592
6/10/15 6:41:01 AM,C,20.529
6/10/15 6:51:01 AM,C,20.529
6/10/15 7:01:01 AM,C,20.529
6/10/15 7:11:01 AM,C,20.467
6/10/15 7:21:01 AM,C,20.467
6/10/15 7:31:01 AM,C,20.467
6/10/15 7:41:01 AM,C,20.404
6/10/15 7:51:01 AM,C,20.467
6/10/15 8:01:01 AM,C,20.467
6/10/15 8:11:01 AM,C,20.404
6/10/15 8:21:01 AM,C,20.467
6/10/15 8:31:01 AM,C,20.467
6/10/15 8:41:01 AM,C,20.467
6/10/15 8:51:01 AM,C,20.467
6/10/15 9:01:01 AM,C,20.467
6/10/15 9:11:01 AM,C,20.467
6/10/15 9:21:01 AM,C,20.467
6/10/15 9:31:01 AM,C,20.467
6/10/15 9:41:01 AM,C,20.467
6/10/15 9:51:01 AM,C,20.467
6/10/15 10:01:01 AM,C,20.529
6/10/15 10:11:01 AM,C,20.592
6/10/15 10:21:01 AM,C,20.717
6/10/15 10:31:01 AM,C,20.717
6/10/15 10:41:01 AM,C,20.717
6/10/15 10:51:01 AM,C,20.842
6/10/15 11:01:01 AM,C,20.905
6/10/15 11:11:01 AM,C,20.967
6/10/15 11:21:01 AM,C,21.155
6/10/15 11:31:01 AM,C,21.155
6/10/15 11:41:01 AM,C,21.155
6/10/15 11:51:01 AM,C,21.03
6/10/15 12:01:01 PM,C,21.155
6/10/15 12:11:01 PM,C,21.28
6/10/15 12:21:01 PM,C,21.28
6/10/15 12:31:01 PM,C,21.342
6/10/15 12:41:01 PM,C,21.405
6/10/15 12:51:01 PM,C,21.593
6/10/15 1:01:01 PM,C,21.78
6/10/15 1:11:01 PM,C,21.843
6/10/15 1:21:01 PM,C,21.905
6/10/15 1:31:01 PM,C,21.968
6/10/15 1:41:01 PM,C,21.968
6/10/15 1:51:01 PM,C,22.093
6/10/15 2:01:01 PM,C,22.155
6/10/15 2:11:01 PM,C,22.218
6/10/15 2:21:01 PM,C,22.155
6/10/15 2:31:01 PM,C,22.218
6/10/15 2:41:01 PM,C,22.343
6/10/15 2:51:01 PM,C,22.406
6/10/15 3:01:01 PM,C,22.468
6/10/15 3:11:01 PM,C,22.593
6/10/15 3:21:01 PM,C,22.531
6/10/15 3:31:01 PM,C,22.593
6/10/15 3:41:01 PM,C,22.593
6/10/15 3:51:01 PM,C,22.593
6/10/15 4:01:01 PM,C,22.656
6/10/15 4:11:01 PM,C,22.656
6/10/15 4:21:01 PM,C,22.718
6/10/15 4:31:01 PM,C,22.781
6/10/15 4:41:01 PM,C,22.781
6/10/15 4:51:01 PM,C,22.843
6/10/15 5:01:01 PM,C,22.843
6/10/15 5:11:01 PM,C,22.843
6/10/15 5:21:01 PM,C,22.781
6/10/15 5:31:01 PM,C,22.718
6/10/15 5:41:01 PM,C,22.718
6/10/15 5:51:01 PM,C,22.593
6/10/15 6:01:01 PM,C,22.468
6/10/15 6:11:01 PM,C,22.343
6/10/15 6:21:01 PM,C,22.218
6/10/15 6:31:01 PM,C,22.155
6/10/15 6:41:01 PM,C,22.093
6/10/15 6:51:01 PM,C,22.03
6/10/15 7:01:01 PM,C,22.03
6/10/15 7:11:01 PM,C,21.968
6/10/15 7:21:01 PM,C,21.905
6/10/15 7:31:01 PM,C,21.905
6/10/15 7:41:01 PM,C,21.843
6/10/15 7:51:01 PM,C,21.843
6/10/15 8:01:01 PM,C,21.78
6/10/15 8:11:01 PM,C,21.78
6/10/15 8:21:01 PM,C,21.718
