1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 140000003487A241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Tue Jun 09 07:23:01 PDT 2015
Mission Sample Count:  1227
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Tue Jun 09 07:23:01 PDT 2015
Total Mission Samples:  1227
Total Device Samples:  5189
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/9/15 7:23:01 AM,C,20.324
6/9/15 7:33:01 AM,C,19.573
6/9/15 7:43:01 AM,C,19.635
6/9/15 7:53:01 AM,C,18.822
6/9/15 8:03:01 AM,C,18.759
6/9/15 8:13:01 AM,C,18.822
6/9/15 8:23:01 AM,C,19.76
6/9/15 8:33:01 AM,C,21.95
6/9/15 8:43:01 AM,C,21.512
6/9/15 8:53:01 AM,C,21.45
6/9/15 9:03:01 AM,C,22.951
6/9/15 9:13:01 AM,C,26.951
6/9/15 9:23:01 AM,C,30.262
6/9/15 9:33:01 AM,C,32.571
6/9/15 9:43:01 AM,C,33.383
6/9/15 9:53:01 AM,C,35.379
6/9/15 10:03:01 AM,C,36.19
6/9/15 10:13:01 AM,C,37.063
6/9/15 10:23:01 AM,C,39.121
6/9/15 10:33:01 AM,C,41.925
6/9/15 10:43:01 AM,C,44.853
6/9/15 10:53:01 AM,C,42.735
6/9/15 11:03:01 AM,C,41.427
6/9/15 11:13:01 AM,C,40.741
6/9/15 11:23:01 AM,C,41.863
6/9/15 11:33:01 AM,C,43.171
6/9/15 11:43:01 AM,C,43.607
6/9/15 11:53:01 AM,C,43.794
6/9/15 12:03:01 PM,C,43.233
6/9/15 12:13:01 PM,C,42.797
6/9/15 12:23:01 PM,C,42.299
6/9/15 12:33:01 PM,C,36.003
6/9/15 12:43:01 PM,C,38.123
6/9/15 12:53:01 PM,C,38.934
6/9/15 1:03:01 PM,C,39.807
6/9/15 1:13:01 PM,C,42.486
6/9/15 1:23:01 PM,C,46.471
6/9/15 1:33:01 PM,C,43.919
6/9/15 1:43:01 PM,C,43.545
6/9/15 1:53:01 PM,C,41.365
6/9/15 2:03:01 PM,C,45.911
6/9/15 2:13:01 PM,C,54.93
6/9/15 2:23:01 PM,C,50.951
6/9/15 2:33:01 PM,C,48.525
6/9/15 2:43:01 PM,C,46.222
6/9/15 2:53:01 PM,C,47.654
6/9/15 3:03:01 PM,C,41.801
6/9/15 3:13:01 PM,C,42.548
6/9/15 3:23:01 PM,C,41.24
