1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: 7E0000003482FB41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Tue Jun 09 07:23:01 PDT 2015
Mission Sample Count:  1227
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Tue Jun 09 07:23:01 PDT 2015
Total Mission Samples:  1227
Total Device Samples:  5665
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/9/15 7:23:01 AM,C,20.127
6/9/15 7:33:01 AM,C,19.752
6/9/15 7:43:01 AM,C,19.689
6/9/15 7:53:01 AM,C,19.064
6/9/15 8:03:01 AM,C,18.814
6/9/15 8:13:01 AM,C,18.751
6/9/15 8:23:01 AM,C,19.314
6/9/15 8:33:01 AM,C,23.754
6/9/15 8:43:01 AM,C,22.441
6/9/15 8:53:01 AM,C,21.44
6/9/15 9:03:01 AM,C,22.128
6/9/15 9:13:01 AM,C,27.316
6/9/15 9:23:01 AM,C,31.689
6/9/15 9:33:01 AM,C,34.25
6/9/15 9:43:01 AM,C,34.999
6/9/15 9:53:01 AM,C,36.06
6/9/15 10:03:01 AM,C,37.246
6/9/15 10:13:01 AM,C,36.747
6/9/15 10:23:01 AM,C,37.246
6/9/15 10:33:01 AM,C,39.555
6/9/15 10:43:01 AM,C,41.24
6/9/15 10:53:01 AM,C,39.992
6/9/15 11:03:01 AM,C,38.182
6/9/15 11:13:01 AM,C,39.618
6/9/15 11:23:01 AM,C,42.737
6/9/15 11:33:01 AM,C,43.735
6/9/15 11:43:01 AM,C,43.673
6/9/15 11:53:01 AM,C,43.111
6/9/15 12:03:01 PM,C,42.737
6/9/15 12:13:01 PM,C,40.866
6/9/15 12:23:01 PM,C,41.365
6/9/15 12:33:01 PM,C,38.245
6/9/15 12:43:01 PM,C,36.185
6/9/15 12:53:01 PM,C,39.118
6/9/15 1:03:01 PM,C,42.924
6/9/15 1:13:01 PM,C,46.666
6/9/15 1:23:01 PM,C,52.525
6/9/15 1:33:01 PM,C,55.951
6/9/15 1:43:01 PM,C,57.57
6/9/15 1:53:01 PM,C,52.276
6/9/15 2:03:01 PM,C,48.1
6/9/15 2:13:01 PM,C,49.284
6/9/15 2:23:01 PM,C,46.541
6/9/15 2:33:01 PM,C,45.357
6/9/15 2:43:01 PM,C,42.675
6/9/15 2:53:01 PM,C,42.55
6/9/15 3:03:01 PM,C,42.363
6/9/15 3:13:01 PM,C,44.92
6/9/15 3:23:01 PM,C,52.961
6/9/15 3:33:01 PM,C,46.978
6/9/15 3:43:01 PM,C,40.179
6/9/15 3:53:01 PM,C,35.498
6/9/15 4:03:01 PM,C,34.375
6/9/15 4:13:01 PM,C,33.251
6/9/15 4:23:01 PM,C,34.499
6/9/15 4:33:01 PM,C,35.998
6/9/15 4:43:01 PM,C,33.313
6/9/15 4:53:01 PM,C,34.375
6/9/15 5:03:01 PM,C,36.185
6/9/15 5:13:01 PM,C,35.061
6/9/15 5:23:01 PM,C,33.75
6/9/15 5:33:01 PM,C,33.313
6/9/15 5:43:01 PM,C,33.063
6/9/15 5:53:01 PM,C,31.627
6/9/15 6:03:01 PM,C,30.19
6/9/15 6:13:01 PM,C,29.253
6/9/15 6:23:01 PM,C,28.316
6/9/15 6:33:01 PM,C,27.504
6/9/15 6:43:01 PM,C,26.879
6/9/15 6:53:01 PM,C,26.629
6/9/15 7:03:01 PM,C,26.316
6/9/15 7:13:01 PM,C,26.066
6/9/15 7:23:01 PM,C,26.004
6/9/15 7:33:01 PM,C,25.879
6/9/15 7:43:01 PM,C,25.066
6/9/15 7:53:01 PM,C,24.691
6/9/15 8:03:01 PM,C,24.129
6/9/15 8:13:01 PM,C,23.629
6/9/15 8:23:01 PM,C,19.001
6/9/15 8:33:01 PM,C,20.19
6/9/15 8:43:01 PM,C,22.691
6/9/15 8:53:01 PM,C,23.191
6/9/15 9:03:01 PM,C,22.941
6/9/15 9:13:01 PM,C,22.191
6/9/15 9:23:01 PM,C,22.316
6/9/15 9:33:01 PM,C,22.941
6/9/15 9:43:01 PM,C,22.941
6/9/15 9:53:01 PM,C,22.941
6/9/15 10:03:01 PM,C,23.129
6/9/15 10:13:01 PM,C,23.379
6/9/15 10:23:01 PM,C,22.628
6/9/15 10:33:01 PM,C,22.753
6/9/15 10:43:01 PM,C,22.503
6/9/15 10:53:01 PM,C,24.816
6/9/15 11:03:01 PM,C,24.816
6/9/15 11:13:01 PM,C,24.566
6/9/15 11:23:01 PM,C,24.691
6/9/15 11:33:01 PM,C,26.566
6/9/15 11:43:01 PM,C,25.066
6/9/15 11:53:01 PM,C,24.191
6/10/15 12:03:01 AM,C,23.941
6/10/15 12:13:01 AM,C,23.816
6/10/15 12:23:01 AM,C,23.691
6/10/15 12:33:01 AM,C,23.629
6/10/15 12:43:01 AM,C,23.504
6/10/15 12:53:01 AM,C,23.379
6/10/15 1:03:01 AM,C,23.316
6/10/15 1:13:01 AM,C,23.191
6/10/15 1:23:01 AM,C,23.066
6/10/15 1:33:01 AM,C,23.004
6/10/15 1:43:01 AM,C,22.816
6/10/15 1:53:01 AM,C,22.691
6/10/15 2:03:01 AM,C,22.566
6/10/15 2:13:01 AM,C,22.441
6/10/15 2:23:01 AM,C,22.316
6/10/15 2:33:01 AM,C,22.191
6/10/15 2:43:01 AM,C,22.128
6/10/15 2:53:01 AM,C,22.003
6/10/15 3:03:01 AM,C,21.878
6/10/15 3:13:01 AM,C,21.753
6/10/15 3:23:01 AM,C,21.691
6/10/15 3:33:01 AM,C,21.565
6/10/15 3:43:01 AM,C,21.503
6/10/15 3:53:01 AM,C,21.44
6/10/15 4:03:01 AM,C,21.315
6/10/15 4:13:01 AM,C,21.253
6/10/15 4:23:01 AM,C,21.19
6/10/15 4:33:01 AM,C,21.065
6/10/15 4:43:01 AM,C,21.003
6/10/15 4:53:01 AM,C,20.94
6/10/15 5:03:01 AM,C,20.878
6/10/15 5:13:01 AM,C,20.815
6/10/15 5:23:01 AM,C,20.753
6/10/15 5:33:01 AM,C,20.502
6/10/15 5:43:01 AM,C,20.377
6/10/15 5:53:01 AM,C,19.814
6/10/15 6:03:01 AM,C,19.752
6/10/15 6:13:01 AM,C,19.689
6/10/15 6:23:01 AM,C,19.689
6/10/15 6:33:01 AM,C,19.689
6/10/15 6:43:01 AM,C,19.689
6/10/15 6:53:01 AM,C,19.752
6/10/15 7:03:01 AM,C,19.752
6/10/15 7:13:01 AM,C,19.689
6/10/15 7:23:01 AM,C,19.627
6/10/15 7:33:01 AM,C,19.627
6/10/15 7:43:01 AM,C,19.689
6/10/15 7:53:01 AM,C,19.877
6/10/15 8:03:01 AM,C,20.19
6/10/15 8:13:01 AM,C,20.44
6/10/15 8:23:01 AM,C,20.815
6/10/15 8:33:01 AM,C,21.065
6/10/15 8:43:01 AM,C,21.253
6/10/15 8:53:01 AM,C,21.503
6/10/15 9:03:01 AM,C,21.753
6/10/15 9:13:01 AM,C,22.191
6/10/15 9:23:01 AM,C,22.253
6/10/15 9:33:01 AM,C,22.503
6/10/15 9:43:01 AM,C,22.503
6/10/15 9:53:01 AM,C,22.566
6/10/15 10:03:01 AM,C,22.878
6/10/15 10:13:01 AM,C,23.379
6/10/15 10:23:01 AM,C,23.691
6/10/15 10:33:01 AM,C,23.129
6/10/15 10:43:01 AM,C,24.066
6/10/15 10:53:01 AM,C,24.879
6/10/15 11:03:01 AM,C,24.754
6/10/15 11:13:01 AM,C,24.879
6/10/15 11:23:01 AM,C,25.316
6/10/15 11:33:01 AM,C,24.379
6/10/15 11:43:01 AM,C,24.254
6/10/15 11:53:01 AM,C,24.004
6/10/15 12:03:01 PM,C,25.004
6/10/15 12:13:01 PM,C,24.879
6/10/15 12:23:01 PM,C,24.316
6/10/15 12:33:01 PM,C,24.629
6/10/15 12:43:01 PM,C,25.316
6/10/15 12:53:01 PM,C,25.816
6/10/15 1:03:01 PM,C,25.941
6/10/15 1:13:01 PM,C,25.504
6/10/15 1:23:01 PM,C,26.191
6/10/15 1:33:01 PM,C,25.941
6/10/15 1:43:01 PM,C,26.566
6/10/15 1:53:01 PM,C,26.691
6/10/15 2:03:01 PM,C,26.629
6/10/15 2:13:01 PM,C,26.816
6/10/15 2:23:01 PM,C,25.941
6/10/15 2:33:01 PM,C,26.066
6/10/15 2:43:01 PM,C,26.254
6/10/15 2:53:01 PM,C,26.504
6/10/15 3:03:01 PM,C,26.316
6/10/15 3:13:01 PM,C,26.816
6/10/15 3:23:01 PM,C,27.129
6/10/15 3:33:01 PM,C,27.191
6/10/15 3:43:01 PM,C,23.566
6/10/15 3:53:01 PM,C,23.504
6/10/15 4:03:01 PM,C,25.316
6/10/15 4:13:01 PM,C,24.691
6/10/15 4:23:01 PM,C,24.066
6/10/15 4:33:01 PM,C,23.754
6/10/15 4:43:01 PM,C,23.504
6/10/15 4:53:01 PM,C,23.441
6/10/15 5:03:01 PM,C,23.379
