1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: CC000000347A8D41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Tue Jun 09 07:15:01 PDT 2015
Mission Sample Count:  1230
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Tue Jun 09 07:15:01 PDT 2015
Total Mission Samples:  1230
Total Device Samples:  6014
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/9/15 7:15:01 AM,C,20.503
6/9/15 7:25:01 AM,C,20.002
6/9/15 7:35:01 AM,C,20.127
6/9/15 7:45:01 AM,C,19.439
6/9/15 7:55:01 AM,C,18.75
6/9/15 8:05:01 AM,C,18.75
6/9/15 8:15:01 AM,C,18.813
6/9/15 8:25:01 AM,C,21.629
6/9/15 8:35:01 AM,C,24.631
6/9/15 8:45:01 AM,C,22.067
6/9/15 8:55:01 AM,C,21.191
6/9/15 9:05:01 AM,C,24.818
6/9/15 9:15:01 AM,C,29.566
6/9/15 9:25:01 AM,C,21.191
6/9/15 9:35:01 AM,C,21.003
6/9/15 9:45:01 AM,C,21.128
6/9/15 9:55:01 AM,C,21.254
6/9/15 10:05:01 AM,C,21.254
6/9/15 10:15:01 AM,C,21.316
6/9/15 10:25:01 AM,C,21.441
6/9/15 10:35:01 AM,C,21.504
6/9/15 10:45:01 AM,C,21.504
6/9/15 10:55:01 AM,C,21.254
6/9/15 11:05:01 AM,C,21.566
6/9/15 11:15:01 AM,C,21.942
6/9/15 11:25:01 AM,C,22.067
6/9/15 11:35:01 AM,C,22.067
6/9/15 11:45:01 AM,C,21.879
6/9/15 11:55:01 AM,C,21.817
6/9/15 12:05:01 PM,C,21.754
6/9/15 12:15:01 PM,C,21.879
6/9/15 12:25:01 PM,C,22.004
6/9/15 12:35:01 PM,C,33.748
6/9/15 12:45:01 PM,C,43.778
6/9/15 12:55:01 PM,C,45.769
6/9/15 1:05:01 PM,C,46.018
6/9/15 1:15:01 PM,C,48.069
6/9/15 1:25:01 PM,C,51.3
6/9/15 1:35:01 PM,C,50.431
6/9/15 1:45:01 PM,C,28.13
6/9/15 1:55:01 PM,C,23.255
6/9/15 2:05:01 PM,C,23.318
6/9/15 2:15:01 PM,C,23.318
6/9/15 2:25:01 PM,C,23.005
6/9/15 2:35:01 PM,C,22.942
6/9/15 2:45:01 PM,C,23.068
6/9/15 2:55:01 PM,C,23.005
6/9/15 3:05:01 PM,C,23.005
6/9/15 3:15:01 PM,C,23.068
6/9/15 3:25:01 PM,C,23.005
6/9/15 3:35:01 PM,C,23.068
6/9/15 3:45:01 PM,C,22.88
6/9/15 3:55:01 PM,C,22.817
6/9/15 4:05:01 PM,C,22.755
6/9/15 4:15:01 PM,C,22.817
6/9/15 4:25:01 PM,C,23.005
6/9/15 4:35:01 PM,C,22.817
6/9/15 4:45:01 PM,C,22.942
6/9/15 4:55:01 PM,C,22.942
6/9/15 5:05:01 PM,C,22.942
6/9/15 5:15:01 PM,C,22.88
6/9/15 5:25:01 PM,C,22.942
6/9/15 5:35:01 PM,C,22.942
6/9/15 5:45:01 PM,C,22.942
6/9/15 5:55:01 PM,C,22.755
6/9/15 6:05:01 PM,C,22.692
6/9/15 6:15:01 PM,C,22.63
6/9/15 6:25:01 PM,C,22.63
6/9/15 6:35:01 PM,C,22.567
6/9/15 6:45:01 PM,C,22.567
6/9/15 6:55:01 PM,C,23.318
6/9/15 7:05:01 PM,C,24.006
6/9/15 7:15:01 PM,C,23.943
6/9/15 7:25:01 PM,C,22.942
6/9/15 7:35:01 PM,C,22.88
6/9/15 7:45:01 PM,C,22.63
6/9/15 7:55:01 PM,C,22.505
6/9/15 8:05:01 PM,C,22.38
6/9/15 8:15:01 PM,C,22.192
6/9/15 8:25:01 PM,C,22.067
6/9/15 8:35:01 PM,C,21.879
6/9/15 8:45:01 PM,C,21.817
6/9/15 8:55:01 PM,C,21.691
6/9/15 9:05:01 PM,C,21.629
6/9/15 9:15:01 PM,C,21.441
6/9/15 9:25:01 PM,C,21.441
6/9/15 9:35:01 PM,C,21.316
6/9/15 9:45:01 PM,C,21.254
6/9/15 9:55:01 PM,C,21.128
6/9/15 10:05:01 PM,C,21.066
6/9/15 10:15:01 PM,C,21.066
6/9/15 10:25:01 PM,C,21.003
6/9/15 10:35:01 PM,C,20.878
6/9/15 10:45:01 PM,C,20.878
6/9/15 10:55:01 PM,C,20.816
6/9/15 11:05:01 PM,C,20.753
6/9/15 11:15:01 PM,C,20.69
6/9/15 11:25:01 PM,C,20.69
6/9/15 11:35:01 PM,C,20.628
6/9/15 11:45:01 PM,C,20.565
6/9/15 11:55:01 PM,C,20.503
6/10/15 12:05:01 AM,C,20.378
6/10/15 12:15:01 AM,C,20.315
6/10/15 12:25:01 AM,C,20.252
6/10/15 12:35:01 AM,C,20.252
6/10/15 12:45:01 AM,C,20.19
6/10/15 12:55:01 AM,C,20.127
6/10/15 1:05:01 AM,C,20.127
6/10/15 1:15:01 AM,C,20.065
6/10/15 1:25:01 AM,C,20.002
6/10/15 1:35:01 AM,C,19.939
6/10/15 1:45:01 AM,C,19.939
6/10/15 1:55:01 AM,C,19.877
6/10/15 2:05:01 AM,C,19.877
6/10/15 2:15:01 AM,C,19.877
6/10/15 2:25:01 AM,C,19.877
6/10/15 2:35:01 AM,C,19.877
6/10/15 2:45:01 AM,C,19.814
6/10/15 2:55:01 AM,C,19.814
6/10/15 3:05:01 AM,C,19.814
6/10/15 3:15:01 AM,C,19.814
6/10/15 3:25:01 AM,C,19.752
6/10/15 3:35:01 AM,C,19.752
6/10/15 3:45:01 AM,C,19.752
6/10/15 3:55:01 AM,C,19.752
6/10/15 4:05:01 AM,C,19.752
6/10/15 4:15:01 AM,C,19.689
